Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7
698.2255131665564,3.274509950179167,49767.45781805972,33247655314854.633,689.9965636511349,-19202.276367347902,-1329.32604079263
691.9093010790428,3.2393658318244927,49770.543619434604,36020957185319.836,691.9141140978484,-19212.425858341332,-1343.3087355161015
699.7378949393036,3.180409138022688,49776.93727737017,30531163216771.74,704.7987842129851,-19218.397124683655,-1355.9634745964986
700.2216033292278,3.0795934019562954,49777.51483962679,26834890221722.26,715.814034069461,-19222.445189291964,-1366.9505026608895
702.7449378246513,3.069094871331592,49786.930854598446,35811055279701.195,728.4602409801577,-19219.444509785066,-1372.450251740173
748.0969201582617,3.043461667168135,49821.660066881785,30151331727283.043,742.3611143839405,-19216.355518194912,-1411.4742082128387
723.8487126440175,3.015221514200561,49799.068412930865,28216137486427.875,738.6397757531828,-19194.489499883148,-1418.6987682130457
773.4464338845721,3.0509942139237576,49832.790172868845,25893091035719.344,769.0689932812307,-19176.077511998326,-1487.8942269340987
806.4797133598221,3.1190343680087236,49868.10569835209,32781763387420.676,797.459241024525,-19176.097965758185,-1549.7596767883942
780.6521793567218,3.129040974000966,49877.65954068044,37148441470736.555,805.5855857299629,-19226.75657707691,-1533.7835171852362
806.6851417533718,3.1361129072179286,49879.33425245107,30854601118950.88,811.5570106521576,-19190.84367384266,-1558.9665442156024
838.6947796381859,3.1496223724924297,49893.858630563715,29752162795487.07,839.2274933104903,-19162.454191610323,-1612.7386841753505
868.4786150991714,3.193163415140981,49939.20273704837,25379354160719.15,860.7963807653055,-19180.97473756636,-1667.0459443168058
894.6658128711703,3.242597355525316,49948.676727019265,34409778584115.723,887.2373558924884,-19154.790392740084,-1708.2213201954014
869.9295214953611,3.2877733438521726,49978.0930228624,30000422223120.387,899.2327113965712,-19246.69476880841,-1676.0718859916544
854.961470558313,3.293577180334094,49954.49391656611,32239590503755.44,872.5281141030118,-19243.853659348493,-1626.653559088385
794.8114243609117,3.1274264460515186,49888.68901081975,27758879510813.395,820.0946496918591,-19179.872168913877,-1582.7080721138066
781.2459308584196,3.1561670042762757,49885.83510944184,18930457090888.168,811.9453337603053,-19208.946659202866,-1540.1244506875223
755.2328768577363,3.1469283652096216,49853.44568061858,21482973264351.465,792.566369861862,-19177.531424595716,-1503.9537392720194
789.3072998099865,3.2369871009173803,49870.721136525564,39350703517818.266,814.6023389143649,-19206.440679255742,-1488.0919982522764
782.026733772774,3.2598471863198197,49849.91248726839,33068154559747.562,790.3162835704248,-19131.861806061588,-1509.0726035449454
824.7801234987339,3.35029219405562,49889.33767449054,27449307431929.438,817.7647110429718,-19135.63211314977,-1567.8817864579312
790.0139384800248,3.431861868776896,49887.39168347816,29754790515460.234,810.8503719821193,-19162.607967863074,-1553.6365634359931
818.3785897142185,3.470958963817141,49892.79757869075,28799308809491.004,823.0262156913975,-19137.030008506452,-1567.4232370299433
805.8203297835081,3.513433742981235,49893.05573151757,24930153977473.52,821.2716515633157,-19141.712496165725,-1570.009578316999
779.4683955042213,3.7503927035240427,49877.98223171397,31909995143668.74,812.7843304474867,-19183.36838104613,-1511.753892566613
746.3598579167444,3.810723675915614,49850.88384197271,21180010003643.94,784.0298246900708,-19192.09886484127,-1434.8818876248279
746.4163015009142,3.809103746401159,49825.86270739307,19741787782085.723,771.9119559800372,-19156.130552810213,-1424.8200530389481
719.1875227047508,3.8079611362380277,49817.468365049615,26749976748712.39,758.8555486029871,-19198.423691661785,-1369.9109467732592
660.123249795089,3.8865215014301033,49771.218535935244,28802979040952.176,700.2876729510083,-19173.844677842237,-1323.9566807682509
647.9802221231191,3.9830298836842677,49745.210732500535,24158844733382.41,697.3025074238661,-19164.22418972558,-1296.0663306599529
645.2698362150381,4.025309960856517,49753.92995361334,22602194212393.457,683.647754299895,-19193.89852692631,-1288.2355490638718
668.0767633707034,4.057141963397776,49742.88188771956,19494164787860.742,684.0492038229663,-19158.6941379764,-1292.208258540411
778.3535690847851,4.11048098943567,55113.42394576244,30959191088624.266,788.9757119841186,-21106.832910570927,-1505.3235973485102
804.1986924838824,4.112655961201433,55163.35106709305,22292719924125.402,822.110867024079,-21177.752277774132,-1527.4309740981957
790.7522263949336,4.122415703593206,55136.157875466226,24082991407780.652,812.401403754363,-21134.579602391306,-1543.256704986333
794.6560951176527,4.134947058420924,55161.54975834293,21621027311076.56,824.8308060452432,-21179.56947870955,-1555.7257782200923
760.9645551038094,4.131473654178975,55144.17140592785,21787664353755.766,802.3894495451921,-21183.449423091584,-1532.4429018442133
844.370626363191,4.114350916939508,57051.976075471364,25330939650412.137,850.8557995513011,-21856.058390070433,-1616.7395173730586
749.3970040469826,4.0818781350620625,55145.500382514314,31598513057583.766,794.5730340809989,-21212.261196028398,-1514.6061020954876
719.4246149280767,4.071619138343377,55111.96603861163,42508620007902.06,771.5762843806373,-21220.093139286404,-1453.690377530704
713.969612338776,4.013881983347571,55100.63254611779,37674646534186.414,761.3498591365249,-21242.593100743332,-1400.7938861255843
626.0017759377911,4.025704801270892,55038.39131617405,19467856509754.477,680.1992263259601,-21246.364646159127,-1316.2476685479417
635.5091653422157,3.994851940985381,54997.86000972102,37007964803424.45,699.686337298466,-21215.785833394664,-1267.732584840451
674.8223259054528,3.938558325505329,55042.312540934276,36455586259830.29,706.7192516407923,-21218.853337532226,-1329.436273508175
763.6914365399773,3.760491687423435,55081.48635731065,22439190775168.684,742.6040989090766,-21160.63707795475,-1450.9979602261621
822.4706328873159,3.741804965663737,55143.65320423649,36751118721358.95,793.3432348517398,-21175.383664206307,-1552.1878739454346
773.840751388868,3.705750064671969,55141.507254170116,41737241450763.06,815.0767129647877,-21227.236045120833,-1540.0552598959707
773.6230570898176,3.660413779404348,55156.088805112195,41316886933575.52,803.8151240549179,-21260.557740208373,-1537.9395589235373
709.0070253279646,3.6230409607456147,55118.12495249364,15754996102491.135,760.924636217537,-21286.854673807524,-1447.2138481622605
632.6347575872151,3.62762880456815,55047.8838289749,19041964610884.81,688.6231031029929,-21276.432372391893,-1347.746893080916
658.0982961044923,3.5761344251536253,55045.977144282755,21760844577423.277,699.8797331450029,-21296.250905834502,-1280.7151488411048
667.3902227004036,3.5022422513470395,55043.18530167762,30852412563658.0,684.9572600375499,-21303.020075435223,-1244.1375477327902
578.1635776931789,3.4171659949741486,54956.30841620582,33457442553390.695,644.3862826416448,-21260.94318352868,-1180.0015343797772
636.0033165244564,3.3871393902612685,55000.67044808063,31252711194613.73,654.0250820443571,-21283.938656980394,-1219.706693447341
567.8288011863274,3.3748507491963005,54963.68473214745,30995056014941.75,621.6945033146679,-21295.439650679316,-1171.5573262445187
669.6941127081204,3.473825018421942,55001.47998325876,31986287505930.754,643.7788213288051,-21231.367189951183,-1263.75408515644
639.4316298194094,3.4824117165295183,55012.062207271825,48269763271395.71,656.0582178669227,-21304.409669244647,-1245.0556821170535
