Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Close
526.5586605643002,2.6121552908166676,39700.69727313761,-26522452916328.504,-550.4268430419683,-16409.41024635707,1060.4353333807546,-38598.4577532516,-526.2129345728971,-419589.5813255474,-26522453299168.836,897.4691176470589
536.5204906073509,2.584119982908617,39703.15889106227,-28734782290201.473,-551.9565191220536,-16416.314177683176,1071.5896650387758,-38603.560925483376,-529.5689723390166,-536093.6017192509,-28734782765608.797,907.4220588235294
540.4761823393769,2.5370888112259604,39708.25926567042,-24355441963909.16,-562.2349301587464,-16409.26138924896,1081.6846545626145,-38607.3661431415,-533.5114004792473,-379739.9394787445,-24355442303917.2,923.404411764706
541.0117871185879,2.456665675437659,39708.720000964364,-21406836222641.543,-571.0220597231829,-16406.181889785334,1090.4492709251879,-38609.33537137481,-537.1135127773599,-347523.00104392105,-21406836528854.77,939.5720588235296
554.0216254604046,2.4482907452238662,39716.23138242322,-28567338716693.8,-581.1102429301789,-16419.572517715897,1094.8365529533976,-38594.21576652047,-542.2339572941536,-364054.7694340619,-28567339081304.98,940.9073529411766
573.2519138333081,2.4278425221630404,39743.93570978581,-24052441142393.676,-592.1993037548917,-16405.088602572578,1125.9669009809231,-38594.36485103746,-554.3640355538589,-428481.5613096846,-24052441538930.535,951.2279411764706
556.551481074428,2.405314673382589,39725.91380443385,-22508690348022.527,-589.230702485953,-16425.174596120545,1131.730106136959,-38594.5604453862,-558.7724346163747,-398984.71499896183,-22508690662378.797,976.9205882352942
570.787503573538,2.4338514157563997,39752.8144628462,-20655540342280.637,-613.5048206809374,-16414.5330095659,1186.928986686641,-38592.95424187188,-577.0020198925058,-353803.9440963981,-20655540665194.688,1017.0220588235294
600.7801495627211,2.4881286820298767,39780.98650634052,-26150799726652.555,-636.1524036715417,-16418.157898099773,1236.2805429849534,-38590.40929019614,-606.0920435558245,-429738.562626344,-26150800110249.53,1054.6279411764706
636.6260535153923,2.4961111921408397,39788.607835994524,-29634203759905.074,-642.6349841615317,-16434.195454857432,1223.5359764790437,-38588.14872039975,-588.9226730185999,-440172.8421127344,-29634204157457.305,1043.110294117647
618.5308493666614,2.501752643243464,39789.94379382602,-24613456251629.23,-647.398533346463,-16423.981716981376,1243.6250824206982,-38585.09316407013,-611.083342573558,-334777.0026542247,-24613456542092.06,1062.9426470588237
616.1688829014166,2.512529468395869,39801.53023934306,-23734014715883.81,-669.4719424290831,-16418.731865340924,1286.5204108916664,-38581.997904225595,-637.9778927528527,-324225.0340072605,-23734015000245.152,1106.3764705882354
664.7537686897675,2.5472632046350467,39837.70232294133,-20245720305612.195,-686.6779623646896,-16428.783185066604,1329.8426175933132,-38578.184665214656,-657.3104503993362,-254610.2372160577,-20245720520454.695,1120.9382352941177
