Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12
533.2785443725218,-2.5009482850970186,36973.103686309434,-25393315385230.71,-526.9935803651235,-15664.141713291174,-5.321182638900609,-36955.20977055088,-503.81052801210404,401720.77538176934,25393315752825.766,-25393315803979.105
528.4544577064507,-2.474106521331555,36970.74686657943,-27511459499059.36,-528.4581337102837,-15688.485111090671,-6.254553430237365,-36960.09568598114,-507.02368954404085,513252.2872236377,27511459955283.5,-27511460006420.03
534.4336450314028,-2.4290776026530376,36965.86362966987,-23318560356556.93,-538.2989630614753,-15702.519642680878,-12.334329587338289,-36963.73890451794,-510.79827711587916,363555.11725759093,23318560683165.81,-23318560734280.836
534.8030834165882,-2.3520783123585485,36965.422509209944,-20495485289764.516,-546.711999105834,-15721.358126183939,-18.65354726681369,-36965.62429700986,-514.2470370752746,332715.77298460394,20495485584034.15,-20495485635132.9
536.7303119714168,-2.3440599271462963,36958.23090898454,-27351144482707.703,-556.3706991762242,-15713.068087619622,-19.946999342670324,-36951.14837746376,-519.1494894594152,348528.6451782209,27351144832908.434,-27351144883982.316
571.3684606314284,-2.324482244082413,36931.706034965435,-23028459156308.188,-566.9876666093631,-15717.23000606901,-0.19248892796633754,-36951.29111502167,-530.7631552044629,410199.0454738178,23028459537096.668,-23028459588136.5
552.8485862312582,-2.302913470980573,36948.96069568283,-21550430298162.56,-564.1454472823613,-15746.031440302004,-25.33919569197485,-36951.478382353285,-534.9838759687232,381998.4286957532,21550430600263.426,-21550430651306.754
590.7294715449516,-2.3302353216963185,36923.205276102344,-19776174247879.973,-587.3861460591207,-15786.210665925139,-19.715244010127435,-36949.940559568095,-552.4373750752469,338748.72633112693,19776174558220.777,-19776174609203.625
615.959055486279,-2.3822018477614546,36896.232597979986,-25037484546586.688,-609.0695559394866,-15826.885900169626,-14.309346191991608,-36947.503953845815,-580.2889522957815,411448.75620561605,25037484915070.336,-25037484965981.855
596.2329505557368,-2.3898445193296296,36888.935730372104,-28372589995277.996,-615.2761542288155,-15826.594616893162,-11.24422735986252,-36945.33962304378,-563.8505315203297,421337.28642860544,28372590377135.2,-28372590428013.836
616.1159540135014,-2.3952457975423638,36887.65664812941,-23565590229645.492,-619.8369053475992,-15835.086031246366,-12.920150925401913,-36942.41415058452,-585.0677572782771,320505.5260131973,23565590508981.52,-23565590559862.46
640.5637187760492,-2.4055638220788267,36876.56347110885,-22723589063593.695,-640.9705855638948,-15873.375788591045,-24.827228612731687,-36939.45066490381,-610.817328670847,310458.7865185778,22723589337130.26,-22723589387965.84
663.3114988570619,-2.438818842707874,36841.93133772784,-19383801435331.793,-657.4440954668404,-15901.279042624144,-4.406191866727681,-36935.79976650639,-629.3268434238524,243751.61251583404,19383801642342.086,-19383801693104.15
683.3123015285558,-2.476574638326399,36834.69545836536,-26280902011128.73,-677.6387237949671,-15929.780597369525,-19.696696899880635,-36931.77855249559,-630.7028384948613,243507.96013785814,26280902220085.082,-26280902270809.11
664.4196469215344,-2.511078369343443,36812.2283913043,-22913200338743.62,-686.8003278925279,-15905.999525451676,-0.3463798156891471,-36929.53243060828,-632.6009932011951,292095.2008501934,22913200609735.797,-22913200660408.785
652.9876091840381,-2.5155111226767013,36830.2525064603,-24623393424242.605,-666.4043548090198,-15864.398946826632,12.677033399194215,-36928.97133875054,-605.0334708222774,273855.43969169067,24623393664089.758,-24623393714833.145
607.0472525582578,-2.3886114032396355,36880.51183340733,-21201193903899.895,-626.3576348735396,-15848.66929061212,-18.671258921643812,-36923.23564490674,-592.7865298715075,282285.4191836657,21201194129486.984,-21201194180326.1
596.6864357558242,-2.4105623671696748,36882.69153658903,-14458375046871.447,-620.1334920204639,-15810.231051476541,-2.4127952429101924,-36919.115512974626,-579.8386418262771,126165.3963250053,14458375200433.156,-14458375251296.895
576.81863758664,-2.403506240029455,36907.42937147219,-16407891412126.7,-605.3325638613917,-15780.447152894265,-28.42620345601688,-36913.97942548325,-555.1484279018551,285941.42803814064,16407891597815.445,-16407891648724.398
602.8434079934111,-2.472289735591593,36894.23502407909,-30054595350909.887,-622.1628132271915,-15752.046623434318,2.678971338613792,-36910.51830078369,-552.9620410768217,450868.86984889687,30054595765854.51,-30054595816767.88
597.2827838321361,-2.4897494142165653,36910.12789246755,-25256219383234.613,-603.6140320696095,-15758.955128252259,-29.392324099680877,-36906.50397928008,-555.2678980264175,417182.16229740175,25256219768841.906,-25256219819775.996
629.9362246046624,-2.55882792991326,36880.01640834533,-20964753965721.305,-624.5781148363515,-15791.58244739577,-6.478622572947643,-36902.03182820822,-588.6660637572297,373620.72646931506,20964754369994.13,-20964754420868.684
603.3831121924834,-2.6211277980504555,36881.50268353132,-22725596021320.04,-619.297201148527,-15793.522809267472,-8.521143975255995,-36898.49263019999,-588.8933076305233,379599.005345153,22725596293113.03,-22725596343973.707
625.0469724161027,-2.65098869762959,36877.37386286288,-21995834642387.062,-628.5966553898136,-15786.84889235935,-13.480741509886911,-36894.9672589789,-564.5907450193666,391443.3585920342,21995835000083.805,-21995835050940.844
615.4554429612007,-2.6834293460705885,36877.17669538458,-19040718896963.766,-627.2565849017153,-15794.046449296493,-14.142088017604465,-36891.44573085272,-593.6804671671841,367288.62778675946,19040719219611.035,-19040719270458.105
595.3288207039786,-2.8644097416181675,36888.689271024225,-24371660756975.47,-620.7742863249349,-15760.261739096786,4.426242796724296,-36889.77924793339,-558.5345287050114,303174.19574714015,24371661023182.62,-24371661074070.605
570.0417574299946,-2.9104882829072785,36909.386008057685,-16176499324382.459,-598.8126697908679,-15690.991460230829,-5.988043152366799,-36889.715795094504,-539.441866071275,257400.77184091439,16176499547673.332,-16176499598623.537
570.0848669294867,-2.9092510413038646,36928.49621525517,-15078038988897.582,-589.5574946866568,-15686.368441852266,-14.635340895518084,-36891.133019890316,-535.9103960256441,247347.64832325644,15078039196865.996,-15078039247863.24
549.2885436103821,-2.908378358376802,36934.90750012154,-20430631461145.83,-579.5854988350716,-15647.616139311634,-8.009511078179571,-36894.73934674127,-518.9021946561253,377693.54673239763,20430631801650.08,-20430631852673.594
504.17746003103963,-2.9683798283961456,36970.23139058743,-21998637833199.336,-534.8535449237459,-15629.41509046952,-18.50517038483963,-36898.67033156708,-496.17613641594227,391319.8349197184,21998638188118.57,-21998638239224.656
494.90306945224876,-3.042089322875719,36990.09517857062,-18451621900921.31,-532.5735870920622,-15619.33910274532,-37.265321762801136,-36902.99489943962,-488.9076742922163,270805.10934878344,18451622138465.926,-18451622189606.02
492.83297802119495,-3.0743812652141203,36983.43576344554,-17262710182149.854,-522.1445971276403,-15616.787289311591,-7.776084834803612,-36909.655776611675,-489.925258989538,399851.13997224264,17262710542154.467,-17262710593307.338
510.25205636455826,-3.0986933587420116,36991.87386315239,-14888913698163.32,-522.4512092655032,-15612.892730682846,-20.687379932790407,-36916.315609464466,-471.1199930190844,295639.93329363887,14888913958466.857,-14888914009645.746
594.477357961678,-3.139431712794323,40950.54183837189,-23645472061252.105,-602.5901536081502,-17283.277554186432,-33.72318016664974,-40883.074126583,-557.2843532197307,358193.6335696293,23645472375124.305,-23645472431678.324
614.2168970153176,-3.1410928749194897,40912.40936958377,-17026345613259.107,-627.8975462972696,-17294.951076133068,-9.123462772945004,-40889.683561980215,-571.6963490338987,235442.62960170605,17026345807890.414,-17026345864366.455
603.9469889016067,-3.1485470012984176,40933.17851275332,-18393688100147.277,-620.4818212321251,-17327.7047984833,-35.300442017201135,-40893.76434117735,-576.4893010614476,207574.42355267284,18393688267020.48,-18393688323516.074
606.9286178891119,-3.1581179816414786,40913.78514186667,-16513331921956.268,-629.974934038961,-17342.345608273066,-17.06601488434194,-40897.87513550276,-584.5706613054476,224718.43032554234,16513332108670.686,-16513332165125.336
581.1962791569335,-3.1554651253318267,40927.058077765956,-16640602909568.04,-612.8350648957988,-17336.284349699912,-26.22848785553606,-40901.206246630405,-574.5813993752543,253839.97129584898,16640603174259.64,-16640603230736.555
644.8987183177665,-3.1423874187477114,42315.90736402222,-19346823953058.953,-649.8518511560018,-17910.476386858394,-15.143845156104135,-42306.38800063002,-615.4782768219983,444681.09017071844,19346824299213.098,-19346824357595.473
572.3614161030711,-3.1175859219178474,40926.04305513191,-24133761883441.562,-606.865178974484,-17328.937739421697,-14.547963398355591,-40906.64192007958,-567.3020206340857,552786.6125824078,24133762395946.59,-24133762452431.266
549.4696257870615,-3.1097504837482335,40951.65533335103,-32466493358536.168,-589.3011212678407,-17293.078064176272,-18.444059605972484,-40911.585847255454,-548.3442005045756,725558.150035222,32466494045114.562,-32466494101666.445
545.3032987401197,-3.065653003218287,40960.31143122457,-28774485169446.527,-581.4905599728486,-17246.685969093433,-13.766812583909086,-40918.487906482005,-532.0385057462947,712382.2750815037,28774485837981.215,-28774485894576.59
478.1167539019523,-3.0746828295618367,41007.84895581863,-14868820100568.21,-519.5107403815186,-17215.513162736122,-4.400577606328568,-40926.73856341161,-500.16944621582564,456179.1493638546,14868820516030.492,-14868820572752.707
485.3781425031517,-3.051118568284462,41038.805252458034,-28265298662465.47,-534.3942672327707,-17179.915658987644,-58.24601338322316,-40935.08991778256,-477.4772517685256,667271.8877125188,28265299293078.293,-28265299349846.406
515.4040648513162,-3.0081236092711157,41004.85407093851,-27843412849744.44,-539.7657442877459,-17208.524092340685,-40.43350237511231,-40942.750261408815,-481.0374057834571,533139.736012015,27843413346040.156,-27843413402750.363
583.2789692556685,-2.8721229679783518,40974.93457447101,-17138213994492.719,-567.1732491058863,-17289.638239088483,-23.501940115802654,-40946.65511597405,-545.2262251930944,515596.09487485484,17138214478547.871,-17138214535200.748
628.1723220140603,-2.8578507484859528,40927.45386084527,-28069128924970.59,-605.9259042982044,-17360.4813050829,-9.102821454454102,-40948.00669625294,-590.5093011941846,840531.3342757301,28069129706712.82,-28069129763245.434
591.0306365134986,-2.8303133629911335,40929.0928572814,-31877343765634.04,-622.5251223928224,-17384.7742591818,-44.11977673972183,-40948.355420913496,-558.2340432402032,287379.69256362534,31877344196412.26,-31877344252881.535
590.8643697462055,-2.7956872031633027,40917.956013791074,-31556292519287.867,-613.9239417886633,-17384.649398267284,-0.6315485978612969,-40948.51666937859,-580.888363708621,745794.7273918692,31556293040432.36,-31556293096910.35
541.5130603034785,-2.7671432414237187,40946.95138517385,-12033076573309.104,-581.1657906039334,-17324.081855555844,-7.229763828832688,-40949.627607864146,-547.7997620581432,216093.28147849577,12033076764085.379,-12033076820636.113
483.18277731724197,-2.7706472650226193,41000.59892941109,-14543539603051.14,-525.9445825441409,-17271.485504283035,-4.405879963372172,-40952.81290417309,-511.48619110584195,565726.6312967105,14543540111921.89,-14543540168616.207
502.630876103383,-2.7313177831006468,41002.055183899116,-16620118882134.336,-534.5419757504117,-17187.06332859125,-7.231468157882489,-40956.03181363829,-487.8405192401812,346580.19985792774,16620119189114.352,-16620119245846.615
509.7277022663391,-2.6748817031450614,41004.18748891018,-23563918296244.98,-523.1447486552706,-17140.511896528446,6.843638614128167,-40960.765918971156,-462.5425950457823,514724.68403736036,23563918769696.008,-23563918826472.035
441.5797264742457,-2.609903639033021,41070.54080621294,-25553542794628.45,-492.1581528327577,-17142.98243932308,-59.434309470654114,-40966.40275059068,-440.8834133724956,525379.6911945083,25553543278467.957,-25553543335330.89
485.7555567027134,-2.586970440873139,41036.65874470488,-23869651436937.957,-499.51990747799505,-17153.386165168733,0.25659620692727003,-40972.19211966014,-459.96811133126147,509931.9062737459,23869651904751.746,-23869651961598.406
