Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Close
6777694379085.249,596383557008.4482,-17307068273662.291,-5978319935583.872,8862824031874.12,13052203414591.756,2305541814801.383,531930633102.85913,-5001328452533.157,-14196685944589.791,4184714246659.845,1047.26
7879934342765.4375,693371951203.519,-20121675116144.426,-6950559606480.609,10304163499420.396,15174851794600.102,2680486507133.4355,618437284667.9928,-5814682513457.372,-16505458659805.201,4865264330402.845,1101.5879310344828
9829647553021.555,864931300483.8275,-25100332658918.195,-8670319832913.046,12853697830619.568,18929528801799.633,3343712832771.3496,771455724009.4651,-7253395419162.145,-20589364450493.473,6069065017948.897,1031.045
13223557452692.084,1163568563049.6296,-33766794696846.402,-11663945424535.33,17291730057058.654,25465380149347.727,4498205914484.663,1037818386229.5895,-9757795519316.562,-27698311911708.867,8164548041948.92,993.19
11719807685842.65,1031250445623.8511,-29926919616501.004,-10337550804904.89,15325357822084.521,22569521072859.582,3986681233289.769,919800313336.7622,-8648163576741.437,-24548529355329.652,7236096233994.764,953.7666666666668
6056049728894.032,532884474060.5567,-15464324932929.203,-5341787422162.947,7919168134164.817,11662490206326.646,2060062801318.1482,475294227103.84863,-4468819899844.739,-12685115458435.703,3739153526610.23,887.1816666666667
11512416729930.766,1013001687602.0381,-29397339852282.977,-10154619944645.076,15054163935065.268,22170136114021.49,3916133857131.36,903523730622.7754,-8495127676000.342,-24114124367293.094,7108047932692.926,900.9383333333334
11340583185684.273,997881726600.9016,-28958557061439.863,-10003052812306.916,14829466679054.316,21839226103421.598,3857681898938.1123,890037749007.3994,-8368329848828.726,-23754198682872.56,7001953503285.296,926.3216666666668
6980370709603.058,614217414073.5996,-17824609352750.504,-6157092188101.529,9127852610671.234,13442509325280.098,2374485461029.873,547837287562.3185,-5150885619493.08,-14621215526168.28,4309851942206.25,996.205
11432517100665.398,1005971108038.823,-29193313690226.234,-10084143800779.506,14949683305324.387,22016268851404.355,3888954732228.0522,897253076094.5918,-8436169131215.925,-23946765034024.617,7058716210493.41,1051.8266666666666
12983597732487.36,1142454081857.4324,-33154048772226.055,-11452287025412.906,16977948081097.557,25003275122248.836,4416579688134.2705,1018985557265.9004,-9580726365811.658,-27195687618677.746,8016390464957.329,1073.8316666666667
12852833703095.33,1130947826852.2454,-32820139698783.06,-11336945641756.195,16806954839525.51,24751455969820.71,4372098291324.0977,1008723075651.7977,-9484234811225.176,-26921787405810.207,7935654099835.399,1036.246666666667
4901055308026.124,431254133802.13837,-12515007993044.734,-4323015316660.1387,6408844685104.317,9438249575970.762,1667172838127.4233,384647261614.2823,-3616537755375.206,-10265842523652.896,3026031433999.1494,977.3433333333334
5923563454590.834,521226700387.0042,-15126016953645.65,-5224926815791.786,7745922870054.813,11407353711475.621,2014995476008.2905,464896414841.2157,-4371057077346.929,-12407607177530.322,3657353431334.0938,910.6983333333334
6769351231200.658,595649410796.6804,-17285763962328.906,-5970960798832.548,8851914082695.26,13036136654345.932,2302703774456.8965,531275882170.66034,-4995172064780.696,-14179210289579.07,4179563103566.6406,865.9449999999999
9597551045506.764,844508648469.6979,-24507666471137.027,-8465597243978.759,12550197829607.59,18482566930205.55,3264761467541.059,753240190896.3038,-7082129054336.702,-20103210764155.918,5925762913616.724,829.9133333333334
10407922315972.557,915814927444.0076,-26576976492121.32,-9180391764820.205,13609876507070.738,20043146396276.684,3540422296224.6763,816840172830.3563,-7680110096788.167,-21800629679863.824,6426105918802.075,844.3366666666667
9722075722257.031,855465839569.7,-24825644375456.73,-8575435242319.156,12713032023316.906,18722371398013.875,3307120539736.931,763013199227.7574,-7174017048377.682,-20364042502145.35,6002647478572.103,831.6333333333333
9641924476918.012,848413151089.9738,-24620975523639.418,-8504737177323.988,12608222518870.38,18568019461849.9,3279855806899.831,756722741761.1562,-7114872685453.525,-20196156156429.14,5953160204501.195,808.4783333333332
9950276207442.785,875545652980.4733,-25408361897758.28,-8776721282290.251,13011437303873.117,19161830446792.67,3384746610204.502,780922977756.8303,-7342408545548.643,-20842035384859.73,6143544172434.451,856.995
15015730619959.51,1321265645019.1448,-38343168682392.69,-13244746225559.598,19635257880706.953,28916673177754.3,5107842469998.892,1178472694551.8608,-11080258069339.28,-31452231559064.09,9271079630250.553,840.6766666666666
10645074947545.41,936682497465.2952,-27182553648765.54,-9389574172130.832,13919988224693.164,20499845131318.984,3621093580054.564,835452501971.3865,-7855107365433.801,-22297374100688.836,6572529699397.343,829.555
10834874240779.107,953383325558.7762,-27667212387460.926,-9556988145016.223,14168178425495.771,20865352710808.734,3685656860570.045,850348432914.8109,-7995162171518.163,-22694931161705.89,6689716462221.114,777.7616666666667
10283657155520.266,904880595258.9248,-26259661028901.395,-9070782675784.201,13447381775137.5,19803841533170.63,3498151482705.013,807087476804.6449,-7588413458659.759,-21540341477494.67,6349381412467.798,758.4449999999999
9196299081012.8,809201663598.6626,-23483056357635.94,-8111669756485.4,12025502464121.795,17709852582841.207,3128269160950.293,721748917877.7161,-6786041201309.182,-19262741048156.48,5678020072244.597,809.33
11690822838545.799,1028700068526.5548,-29852905663466.918,-10311984544082.438,15287456207262.97,22513703125755.375,3976821550125.0835,917525422851.7012,-8626775131297.969,-24487817316561.234,7218199934241.694,850.6383333333332
12006310575217.225,1056460531028.5012,-30658513973799.566,-10590263073092.92,15700002605006.191,23121256267520.457,4084139767582.3076,942285648144.5245,-8859576547572.904,-25148643925655.633,7412989581373.721,790.9683333333334
9258822119624.213,814703221679.9838,-23642710709913.266,-8166818700670.953,12107260564425.535,17830256659895.723,3149537354053.171,726655819751.9507,-6832177409991.604,-19393702886927.363,5716623132387.214,805.4283333333333
10569103146436.041,929997600261.5042,-26988557027184.633,-9322562648481.871,13820644116925.826,20353541712636.48,3595250539507.8403,829490007962.28,-7799046920006.991,-22138242174712.12,6525622721830.981,787.2583333333333
7909823502630.557,696001987768.6735,-20197997842626.668,-6976923586051.107,10343248053727.416,15232410944521.273,2690653766371.532,620783004206.6505,-5836737874614.523,-16568065016225.092,4883718446162.173,735.4133333333333
8075487451983.833,710579108369.478,-20621026247701.188,-7123048809100.832,10559877838829.129,15551439720829.15,2747007024365.821,633784728329.9128,-5958982953637.574,-16915067838552.953,4986003411832.418,711.9116666666666
11271463094829.934,991799730079.7722,-28782056513757.008,-9942084900879.408,14739082203836.053,21706117426601.35,3834169577676.5513,884612990596.8093,-8317325337432.609,-23609418500308.066,6959276918813.642,722.88
8443333733504.115,742946676942.1117,-21560334000558.023,-7447510591224.157,11040890513902.23,16259822888077.617,2872135858725.452,662654238267.1605,-6230420408013.422,-17685565589334.887,5213120703375.2295,729.5883333333334
8634472555174.826,759765372698.031,-22048413371931.47,-7616106118325.058,11290832348435.871,16627910142217.465,2937154808435.4526,677655311903.3295,-6371463696968.119,-18085928519813.992,5331134547990.544,726.1183333333333
6724243264210.722,591680264779.3927,-17170579275870.334,-5931172952418.422,8792928830468.199,12949269603876.121,2287359574460.7847,527735697151.0455,-4961886451504.125,-14084726294969.314,4151712349940.9883,714.8433333333334
10688329287695.133,940488555012.1536,-27293004946641.918,-9427727021740.893,13976549666155.215,20583142482549.79,3635807230790.6206,838847181545.487,-7887025093822.581,-22387975468123.496,6599235877756.829,693.8349999999999
5791652195380.666,509619631196.0451,-14789176843846.053,-5108573491982.059,7573430049110.133,11153324246478.654,1970123705285.4473,454543561495.755,-4273718104202.545,-12131303542489.268,3575907719809.1494,660.4783333333332
7600047061395.249,668744099021.5222,-19406973398424.242,-6703682769394.07,9938170128625.281,14635856299285.635,2585278326508.9355,596470975096.8481,-5608150770379.427,-15919201433070.514,4692454940928.4795,655.3783333333334
7557401032119.17,664991582852.5881,-19298075357020.32,-6666066494109.027,9882404213300.775,14553730350049.844,2570771594629.9546,593124011034.5485,-5576681850463.835,-15829874257464.682,4666124254812.67,658.8783333333333
8385225796173.842,737833621415.3389,-21411953484554.547,-7396256000143.039,10964905829796.943,16147921052902.092,2852369513488.9624,658093801614.1921,-6187542039357.411,-17563851560993.625,5177243530817.718,662.4599999999999
8123340496743.443,714789789593.4612,-20743220612546.02,-7165257964034.214,10622452630853.057,15643593150374.998,2763285010476.4116,637540368470.2755,-5994294227084.989,-17015301697350.29,5015549101435.333,665.6566666666666
9946517211514.586,875214913362.1592,-25398763221318.348,-8773405664522.163,13006521985889.809,19154591553229.516,3383467927338.7354,780627944519.955,-7339634691274.833,-20834161857938.195,6141223174056.923,676.4566666666667
9046244466738.078,795998039917.2416,-23099886696471.664,-7979312845016.829,11829284141704.123,17420883480651.107,3077225655112.59,709972228557.8624,-6675314346826.031,-18948433681512.023,5585372650782.093,701.075
10833602991630.305,953271465679.0382,-27663966277774.004,-9555866837763.715,14166516085827.947,20862904635411.953,3685224429406.0107,850248670569.3999,-7994224124412.31,-22692268424790.46,6688931577135.202,739.2549999999999
7889992416420.716,694257003018.2639,-20147358518739.35,-6959431410820.699,10317315986969.219,15194221069858.828,2683907905115.233,619226618338.9308,-5822104339779.295,-16526526433121.111,4871474281127.213,722.3566666666667
11628126671002.576,1023183285390.8986,-29692808936988.055,-10256682866635.197,15205471744347.588,22392965458917.84,3955494443704.1357,912604888381.1228,-8580511056868.248,-24356492688970.13,7179489871358.515,756.4316666666667
