Feature_1,Feature_2,Feature_3,Feature_4,Close
17053516128757.107,1500574707273.6506,-43546721377391.984,-15042191345216.082,758.4449999999999
15250336755804.816,1341909148944.0774,-38942243434524.164,-13451682502767.814,809.33
19387036422987.04,1705906074557.7354,-49505443493797.76,-17100491788332.768,850.6383333333332
19910213647235.824,1751941593620.5784,-50841393740480.55,-17561964522302.668,790.9683333333334
15354019485718.291,1351032450903.1223,-39207000225849.73,-13543136680491.678,805.4283333333333
17526874753646.512,1542226547999.1677,-44755458646140.5,-15459721194798.133,787.2583333333333
13116958358080.14,1154188723385.1091,-33494590180200.254,-11569918862956.197,735.4133333333333
13391680938726.77,1178362143163.4236,-34196103427847.59,-11812240131587.668,711.9116666666666
18691606961944.473,1644713785925.183,-47729641075468.31,-16487082625037.375,722.88
14001684986891.883,1232037683329.186,-35753769117296.58,-12350299126644.219,729.5883333333334
14318652864068.08,1259928334971.9495,-36563157188675.695,-12629883179007.16,726.1183333333333
11150895953230.795,981190717065.6903,-28474184445557.113,-9835737624938.184,714.8433333333334
17724588941525.668,1559623828299.4185,-45260328404662.57,-15634116578504.66,693.8349999999999
9604368624157.896,845108551238.2894,-24525075274624.918,-8471610743430.074,660.4783333333332
12603252245845.596,1108986628609.3333,-32182824539490.816,-11116800229825.36,655.3783333333334
12532531806891.96,1102763784533.2854,-32002237567620.117,-11054420694259.754,658.8783333333333
13905323874158.88,1223558639971.9067,-35507707868405.16,-12265303002944.637,662.4599999999999
13471036235998.629,1185344768029.2969,-34398739857690.63,-11882236096403.666,665.6566666666666
16494432780702.967,1451379739272.8452,-42119083872095.695,-14549047361399.352,676.4566666666667
15001499328999.436,1320013416131.9153,-38306828435959.414,-13232193395892.045,701.075
17965498125454.74,1580821887504.7622,-45875498178210.52,-15846612423731.094,739.2549999999999
13084072222008.523,1151294993544.1091,-33410614361714.496,-11540911371952.996,722.3566666666667
19283066591219.973,1696757524702.3694,-49239953107850.484,-17008784331147.889,756.4316666666667
21143218504882.906,1860436199071.3135,-53989913009718.33,-18649546323560.5,781.765
15489154901777.744,1362923303003.2263,-39552073002102.49,-13662333966144.979,794.3016666666666
18715536338765.586,1646819400322.578,-47790745481134.95,-16508189742110.668,796.0483333333334
13834469803199.73,1217324041703.3562,-35326779672707.195,-12202805603434.77,802.5533333333333
19729903232915.64,1736075604849.1526,-50380965393566.2,-17402920178037.16,800.4816666666667
10604522156762.193,933114159363.4454,-27079000288939.418,-9353804182753.102,788.68
15142676138167.883,1332435850866.0505,-38667328287622.34,-13356719546998.443,783.2466666666667
16170276530012.639,1422856570129.4294,-41291340292546.0,-14263122779975.787,788.4666666666667
18846186726924.035,1658315615562.2837,-48124365592862.09,-16623430986620.441,808.6783333333333
17271473067928.13,1519753216204.9558,-44103281895026.44,-15234442073203.002,827.2816666666665
19775936633172.508,1740126268390.6506,-50498512893511.31,-17443524386003.16,845.0100000000001
15709995381733.05,1382355520722.497,-40115996611922.7,-13857128102518.691,859.6850000000001
16492783472873.285,1451234706618.2217,-42114871985065.805,-14547592659323.107,833.3616666666668
20231402893160.0,1780203627128.944,-51661560843504.46,-17845271934587.305,838.9233333333334
25002981659720.074,2200064845471.523,-63845947471621.984,-22054081580986.3,824.5133333333334
14100264412570.025,1240711907609.1243,-36005494206917.086,-12437251827590.59,823.2883333333333
18369532488954.2,1616373724442.985,-46907214160843.24,-16202994293361.934,823.2099999999999
13063751158463.521,1149506912789.002,-33358723805292.098,-11522987025016.133,832.9566666666666
16266902024863.393,1431358883372.095,-41538076310053.98,-14348352070163.094,845.3383333333334
17026729424484.662,1498217687705.0234,-43478320897543.61,-15018563947877.893,837.3966666666668
19463411845282.164,1712626496744.7786,-49700470696213.32,-17167859332033.28,855.9266666666666
16206285989651.682,1426025156086.3965,-41383291229354.37,-14294885212401.68,875.4916666666667
20095392771552.957,1768235788902.7368,-51314255151701.61,-17725303166547.383,781.3866666666668
18295438711593.69,1609854083221.961,-46718011072668.72,-16137639045754.955,773.7366666666668
16442387027826.742,1446800105842.5266,-41986184643624.0,-14503140127357.557,770.495
15896467959596.828,1398763590983.4792,-40592159842942.12,-14021607597328.61,765.2683333333333
22283440910162.7,1960766748444.5408,-56901509775642.87,-19655288774994.656,759.3116666666666
19098579947676.94,1680524164705.5173,-48768860295689.64,-16846056407072.574,765.705
23983675947491.273,2110374039483.598,-61243115466676.72,-21154994706885.516,750.1066666666667
30589904270927.945,2691670003415.1543,-78112339856858.64,-26982071761195.574,739.5033333333333
18613123621718.36,1637807840719.3555,-47529231463803.21,-16417855747329.797,735.58
20770737119167.21,1827660808636.042,-53038769235100.414,-18320996134910.83,722.635
16027816472078.637,1410321239129.7883,-40927563447451.43,-14137464732979.824,711.5566666666667
15672214747740.244,1379031047388.0623,-40019522706222.04,-13823803314371.043,708.3449999999999
20379293675020.152,1793216824863.501,-52039205544554.11,-17975720242811.066,699.1766666666666
18147974415127.152,1596878362724.63,-46341457491269.8,-16007567113582.023,656.8183333333333
22677109804749.945,1995406524598.376,-57906755285414.09,-20002527487213.47,680.3966666666666
14945193753773.57,1315058979961.3584,-38163050391059.37,-13182528636656.688,656.2783333333333
19878944735842.93,1749190099449.6384,-50761547819513.48,-17534383460744.562,667.9449999999999
22714502454142.41,1998696791173.6655,-58002238982728.086,-20035510026559.3,664.7133333333334
11373091866056.068,1000742213279.9034,-29041569075402.773,-10031727331036.967,662.8216666666667
11693349625782.74,1028922367045.9745,-29859357813649.39,-10314213255578.67,656.5633333333333
9757683983758.512,858599091496.8777,-24916571162496.53,-8606843793012.047,651.2666666666667
11671090097032.85,1026963696907.6683,-29802517605718.426,-10294579078806.23,640.27
18060858072899.492,1589212842365.408,-46119002916128.52,-15930725469130.672,628.8083333333333
13267243134695.95,1167412556216.1938,-33878347490776.41,-11702478723930.217,628.565
20798257033474.51,1830082390242.7148,-53109042150924.25,-18345270345762.07,673.0383333333334
15814246998000.77,1391528843505.629,-40382206530659.8,-13949084079123.307,681.24
19362456290190.453,1703743211249.308,-49442677283354.38,-17078810673432.68,662.7
16986068120242.213,1494639854346.5093,-43374490674156.71,-14982698341150.502,660.355
15321886580490.143,1348204965641.2175,-39124948027619.49,-13514793565464.861,667.635
16210593229088.555,1426404174587.6914,-41394289877434.14,-14298684463926.348,695.1633333333334
16256488921997.486,1430442601354.154,-41511485021286.58,-14339166959285.861,684.3033333333333
26036295819479.984,2290988431267.071,-66484549879928.79,-22965524834137.156,704.5949999999999
21273726354575.31,1871919913141.961,-54323169007479.87,-18764661877979.918,708.4583333333334
22753242747848.105,2002105666406.6516,-58101163409715.5,-20069681236407.402,721.9566666666667
25749473506385.895,2265750283609.56,-65752138495610.55,-22712530704453.645,716.9533333333333
21897366966691.18,1926795395824.6604,-55915656046081.9,-19314749148366.633,734.8083333333333
22119860514123.336,1946373072102.0137,-56483800640304.35,-19511001366221.84,735.85
15080255854722.996,1326943398801.9116,-38507935747102.164,-13301661252056.127,721.7633333333332
17832640108261.41,1569131494728.0918,-45536240600147.52,-15729423996718.658,725.9333333333333
22506138497242.664,1980362474906.4634,-57470174281513.64,-19851720956814.1,734.5916666666667
29154561470225.977,2565371298812.4653,-74447143697033.78,-25716016174606.523,752.285
27724560181412.344,2439542378999.184,-70795588026259.52,-24454671907834.547,800.4155172413792
15913339216527.543,1400248172993.7761,-40635241817254.46,-14036489166131.576,769.025
21159156440919.773,1861838636216.2705,-54030610988753.26,-18663604532210.332,758.3833333333333
23704542168709.68,2085812500804.006,-60530338075544.625,-20908782546892.184,760.2466666666667
21437918256817.855,1886367544406.4067,-54742438424738.086,-18909488713568.76,768.595
25192101033620.855,2216705987364.146,-64328869107539.19,-22220895899419.055,771.4683333333334
25426711376929.41,2237349862452.6655,-64927954479348.24,-22427835873352.5,771.69
22661703027644.992,1994050988226.3252,-57867412732959.0,-19988937894369.0,766.7316666666667
26071018011059.074,2294043796950.8896,-66573213390616.836,-22996151843479.004,754.7066666666667
25653928935134.0,2257343208323.9365,-65508162004360.52,-22628254936449.65,736.4416666666667
