Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Close
8861261764006.346,779721059066.9596,-22627527095763.656,-7816147395191.86,11587392440704.62,17064651371175.19,3014300800115.5576,695454266761.7727,-6538813626898.77,-18560965522965.547,5471159614843.458,-890262282355.5543,1106.3764705882354
7558882441362.176,665121965411.7119,-19301858091552.49,-6667373211804.546,9884341508469.34,14556583125225.938,2571275510206.612,593240233185.0139,-5577774885799.954,-15832977313470.273,4667038754781.744,-759416466915.664,1120.9382352941177
10248466942038.973,901784192857.871,-26169801628122.605,-9039742939439.438,13401365724308.178,19736073657704.74,3486180956830.8276,804325596884.2928,-7562446074199.308,-21466631648770.2,6327653829984.459,-1029630408869.0345,1165.739705882353
8935202346739.092,786227249032.4568,-22816336785597.617,-7881367279541.711,11684080548668.049,17207043053567.17,3039452875484.857,701257301886.582,-6593375099087.412,-18715842835054.16,5516812314134.811,-897690878609.2006,1128.2044117647058
9602107028668.053,844909609374.647,-24519300100491.266,-8469615950740.529,12556155776965.941,18491340500292.047,3266311234333.1846,753597654733.4269,-7085490688142.256,-20112753981998.79,5928575498918.075,-964692669367.6055,1081.4485294117646
8267590466790.108,727482677096.3868,-21111567698043.87,-7292494850022.216,10811080644133.232,15921383763883.846,2812353955211.478,648861439481.5009,-6100737637204.826,-17317450509954.99,5104612424551.149,-830618048828.2926,1074.4147058823528
5638169520844.856,496114392172.6356,-14397253484566.947,-4973192864205.185,7372729160631.636,10857753506416.078,1917914084615.9565,442497797904.2224,-4160461567050.9507,-11809815790169.566,3481143602672.1714,-566448725459.6243,1036.125
6398400321542.514,563008690663.6497,-16338528545755.225,-5643760609121.509,8366841806395.397,12321774791381.592,2176518855231.0667,502162694961.54755,-4721443621255.53,-13402209734432.346,3950528821683.5967,-642826483238.1174,1036.654411764706
11720051622615.525,1031271987979.5608,-29927542265686.457,-10337766042801.207,15325677176206.768,22569990664326.418,3986764185396.2363,919819345798.1908,-8648343278533.681,-24549040497205.453,7236246413489.127,-1177475609158.1528,999.6691176470588
9848883076572.652,866623918532.4519,-25149451066592.086,-8687286721750.701,12878851286177.086,18966571682121.44,3350256091144.4253,772965313739.2095,-7267589338327.607,-20629655638380.484,6080941263939.86,-989485331902.509,1038.7911764705882
