Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Close
13580640062671.518,1194989023264.3784,-34678616985926.21,-11978913027433.99,17758667735222.55,26153035027613.99,4619673303940.741,739.2549999999999
9890628924412.242,870297211026.1217,-25256050500279.875,-8724108969492.823,12933440051303.758,19046964111739.176,3364456612346.623,722.3566666666667
14576628204304.588,1282628127297.1433,-37221905854815.54,-12857432412499.82,19061067578592.457,28071067775729.414,4958474696861.601,756.4316666666667
15982770879834.021,1406357575098.5579,-40812538037064.42,-14097731896091.43,20899804223040.18,30778959195167.42,5436796761469.995,781.765
11708700539617.428,1030273175943.2196,-29898556857324.3,-10327753715180.1,15310833987048.842,22548131180352.227,3982902925899.7666,794.3016666666666
14147615658733.152,1244878453568.589,-36126407860990.56,-12479018472426.377,18500071304136.79,27244893043514.703,4812539156982.381,796.0483333333334
10457876177056.904,920210479807.743,-26704535324215.707,-9224453978272.535,13675198531099.492,20139345455408.14,3557414901173.208,802.5533333333333
14914404955904.02,1312349802181.9705,-38084430069350.73,-13155371107826.92,19502759893244.836,28721544293264.51,5073374898924.015,800.4816666666667
8016265256990.594,705368003002.5055,-20469800147651.4,-7070811337131.5625,10482436091054.875,15437391898360.506,2726861624089.352,788.68
11446787213024.047,1007226828382.3761,-29229752717811.93,-10096730929426.62,14968343901241.957,22043749507720.297,3893808916736.17,783.2466666666667
12223580094159.404,1075578467393.3728,-31213319347033.633,-10781907369998.902,15984113909978.75,23539665194858.76,4158047526721.8486,788.4666666666667
14246378068950.674,1253568775437.9414,-36378600960419.02,-12566132664926.504,18629217611518.695,27435085603356.035,4846134778669.084,808.6783333333333
13056006432425.035,1148825446933.9685,-33338947398862.117,-11516155739575.543,17072632934787.781,25142717186356.63,4441210715565.895,827.2816666666665
14949202935641.838,1315411816003.5703,-38173287627091.34,-13186065003958.574,19548263655268.33,28788556634623.527,5085211965654.139,845.0100000000001
11875640250868.254,1044962551802.5491,-30324843037330.61,-10475004241379.658,15529132012850.256,22869616814578.324,4039690160115.6396,859.6850000000001
12467372427559.682,1097030322199.3135,-31835850791372.934,-10996946386067.918,16302908205336.883,24009150118559.91,4240977377392.4756,833.3616666666668
15293503065501.148,1345707451553.812,-39052469238098.59,-13489757604925.283,19998485989671.797,29451595438991.758,5202331187809.306,838.9233333333334
18900477573350.945,1663092699809.5422,-48262999779772.805,-16671318644919.982,24715131238271.598,36397758401489.13,6429301691761.849,824.5133333333334
10658798015975.58,937890044631.5115,-27217595286708.402,-9401678665396.65,13937933257464.908,20526271998915.996,3625761649732.2266,823.2883333333333
13886061333226.906,1221863685890.1096,-35458520961268.164,-12248312398524.12,18158050647805.47,26741203057811.04,4723567304854.665,823.2099999999999
9875267644264.691,868945549025.5177,-25216824926655.18,-8710559436804.7705,12913352983193.957,19017381970639.12,3359231221959.2935,832.9566666666666
12296622102640.445,1082005612081.6196,-31399834244693.23,-10846334657500.096,16079627099829.787,23680326272416.434,4182893916979.997,845.3383333333334
12870997627992.096,1132546117573.0637,-32866521290732.285,-11352967215830.09,16830706857948.646,24786434909390.473,4378276997761.7866,837.3966666666668
14712956402127.254,1294623942607.5583,-37570024430009.62,-12977681810257.002,19239336636426.426,28333602966163.977,5004848924626.75,855.9266666666666
12250800687031.041,1077973693236.1921,-31282827721780.594,-10805917512065.588,16019708934366.77,23592085277093.984,4167307023588.0537,875.4916666666667
15190689077626.89,1336660616217.3562,-38789930812547.84,-13399069740545.74,19864041650305.996,29253600851575.805,5167357393078.442,781.3866666666668
13830051702200.254,1216935300373.4822,-35315496870240.945,-12198908475083.797,18084809887553.28,26633340966184.176,4704514612076.1,773.7366666666668
12429276295972.578,1093678079108.9294,-31738572304990.906,-10963343430431.35,16253091597372.459,23935786991399.797,4228018463560.722,770.495
12016600270114.162,1057365887061.1301,-30684788606687.867,-10599339052532.969,15713457595405.719,23141071448600.848,4087639947255.501,765.2683333333333
16844698000883.797,1482200341539.7134,-43013498311560.49,-14858001727370.066,22026899631934.04,32438823224562.992,5729995191710.013,759.3116666666666
14437169410296.623,1270356860584.3853,-36865793161841.914,-12734421664365.8,18878704891946.086,27802503786316.625,4911035541493.388,765.705
18129954880635.234,1595292823371.5442,-46295443725611.44,-15991672851801.945,23707560564228.594,34913917215076.56,6167195943703.419,750.1066666666667
23123794094327.98,2034711268711.1067,-59047378739030.46,-20396529067834.875,30237733953800.906,44530846369696.75,7865930739119.106,739.5033333333333
14070198921476.762,1238066354815.743,-35928721845499.94,-12410732390962.035,18398837447629.26,27095807230226.656,4786204627018.624,735.58
15701201418518.463,1381581708751.479,-40093540926005.484,-13849371298271.318,20531611190247.617,30236724295868.316,5341016366496.697,722.635
