Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Close
11087558155578.191,975617580826.708,-28312449026719.703,-9779870098185.586,14498599835636.316,21351960831041.28,3771611340798.725,870179617642.029,-8181619912279.034,1081.4485294117646
9546591163101.705,840024638904.7771,-24377538586961.27,-8420647729448.572,12483560640242.15,18384430403899.348,3247426626195.71,749240653502.8251,-7044525034190.974,1074.4147058823528
6510397381193.04,572863555739.4374,-16624516349812.008,-5742548477761.576,8513294331105.755,12537453819447.854,2214616426071.195,510952445471.6388,-4804087211379.914,1036.125
7388236296051.114,650106438221.5137,-18866107708108.33,-6516853413836.218,9661196738378.793,14227959985396.21,2513227493927.905,579847534226.0748,-5451853491391.04,1036.654411764706
13533149918466.768,1190810319735.4395,-34557349166555.96,-11937024015261.293,17696567686392.55,26061580371312.387,4603518751268.152,1062115893804.8217,-9986246639811.42,999.6691176470588
11372510590952.736,1000691105301.7588,-29040084686536.52,-10031214654660.451,14871216513854.992,21900710532554.293,3868542512152.834,892543463923.1519,-8391889321686.194,1038.7911764705882
9440125831105.84,830656483489.4886,-24105675688698.92,-8326739047166.097,12344341438921.404,18179403797196.64,3211210727870.8037,740885017918.7991,-6965963304582.352,1064.8617647058825
10233007361236.145,900423833856.7435,-26130325416247.305,-9026106684042.713,13381149907292.418,19706302460419.63,3480922159123.999,803112371705.8718,-7551038503370.012,1048.0
9904406469791.492,871509527193.3024,-25291231930045.758,-8736261567118.768,12951456179729.9,19073496352653.22,3369143269074.657,777322944906.1389,-7308560639425.887,1063.6808823529411
8573760552175.755,754423188496.8014,-21893383294530.402,-7562554602766.006,11211442514237.479,16510993507802.662,2916502647225.0234,672890493245.5088,-6326663737284.32,1064.8808823529412
10974206581821.521,965643528170.1638,-28023002045948.434,-9679887420965.49,14350376072592.432,21133673085300.062,3733052982625.903,861283513574.0266,-8097976692215.829,1009.895588235294
7284043865145.541,640938320221.086,-18600048675873.13,-6424949607349.193,9524949889411.107,14027310390132.46,2477784749547.105,571670231723.5546,-5374968818478.33,979.154411764706
6789423047215.168,597415592615.6234,-17337017957842.45,-5988665326383.618,8878161012766.762,13074790087928.258,2309531518854.8076,532851140551.9685,-5009983179549.532,967.129411764706
9199618097901.455,809493712836.6643,-23491531359936.742,-8114597297866.048,12029842560275.129,17716244066682.527,3129398162461.8564,722009373179.3999,-6788490264970.057,927.6691176470588
9905668702388.686,871620594394.3496,-25294455089553.26,-8737374931156.032,12953106736599.559,19075927112213.355,3369572638285.276,777422008258.6724,-7309492053772.198,904.7220588235294
8308498672763.028,731082261034.0142,-21216028135377.684,-7328578239294.954,10864574025418.49,16000163074115.07,2826269538597.8574,652072030253.5319,-6130924239521.149,910.6985294117648
7773148953595.195,683975670355.6476,-19848994949853.754,-6856368665171.665,10164525964432.586,14969208835431.47,2644161732039.66,610056492684.4467,-5735884503615.29,871.8838235294118
6704262686449.188,589922137277.5901,-17119558178653.348,-5913548926972.882,8766801337983.102,12910791815446.805,2280562856532.2793,526167561509.5432,-4947142558094.055,886.4823529411765
10647214328108.375,936870770049.8754,-27188016502276.98,-9391461246234.545,13922785904994.686,20503964972335.137,3621821311334.1455,835620363873.8776,-7856685917565.474,1042.785
7666717350769.865,674610573822.409,-19577218142150.656,-6762489849424.832,10025351347552.074,14764247138849.422,2607957290515.621,601703402906.0596,-5657347369273.469,1035.4083333333333
8282411893015.654,728786846812.1139,-21149414621063.31,-7305568199971.554,10830461848836.56,15949926191586.152,2817395693355.856,650024648790.6471,-6111674470699.502,1071.3
7435714702912.833,654284164902.5433,-18987345174898.09,-6558732099659.419,9723281688142.81,14319391786848.814,2529378021126.447,583573728547.261,-5486888201816.033,1062.71
7493023066375.529,659326829911.5175,-19133683894933.93,-6609281367677.789,9798220632223.762,14429753804532.14,2548872379390.4155,588071441499.4615,-5529176643460.425,1047.26
8711595195862.913,766551534099.562,-22245348837893.992,-7684132765898.819,11391681368684.31,16776429883979.941,2963389333257.303,683708143203.3148,-6428373390726.255,1101.5879310344828
10867084251602.525,956217531046.3325,-27749461847578.453,-9585399232716.502,14210297624256.76,20927381497931.742,3696613624332.979,852876392970.4552,-8018930353814.485,1031.045
14619192821429.156,1286373447162.87,-37330596127467.34,-12894976849455.438,19116726858458.105,28153037033050.332,4972953749367.702,1147351395885.2307,-10787648839528.047,993.19
12956734903021.16,1140090264340.3726,-33085454499686.85,-11428592423701.99,16942820557930.854,24951544365564.902,4407441936524.494,1016877507129.79,-9560904569889.754,953.7666666666668
6695214887491.683,589125952354.9138,-17096454479554.705,-5905568196384.765,8754969784254.515,12893368045193.342,2277485118846.92,525457538775.1445,-4940466287819.531,887.1816666666667
