Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Close
10589883156904.219,931826024118.9937,-27041619623628.137,-9340891772704.902,13847816738838.76,20393559104732.14,3602319212958.7856,831120950643.6042,-7814380907349.932,-22181768213512.76,6538453119508.066,-1063931020971.8945,-1004970866408.0588,900.9383333333334
10431819285634.16,917917682882.2925,-26637998160359.855,-9201470288967.682,13641125325328.113,20089166167097.07,3548551231649.5767,818715651833.3477,-7697743870505.556,-21850684737940.445,6440860438719.836,-1048050973682.2407,-989970778984.4901,926.3216666666668
6421007156072.392,564997845418.8909,-16396255868008.805,-5663701061894.678,8396403195615.802,12365310119482.424,2184208944130.6584,503937009958.7402,-4738125638137.663,-13449562126384.83,3964487176081.8696,-645097542213.5579,-609348072909.5981,996.205
10516386187670.959,925358831534.9901,-26853942850990.54,-9276063149280.838,13751708537835.303,20252021808870.37,3577318054315.4727,825352787422.2251,-7760146934152.555,-22027820017742.293,6493074535125.911,-1056546848889.9843,-997996018880.7267,1051.8266666666666
11943172851432.61,1050904907528.5912,-30497289223675.387,-10534571873440.36,15617440772046.355,22999667949488.63,4062662423338.082,937330383633.8551,-8812986460821.695,-25016394125544.836,7374006722959.355,-1199892110583.0566,-1133396986900.4285,1073.8316666666667
11822887439179.652,1040320692334.0801,-30190137549466.246,-10428473231883.66,15460149866813.531,22768028019885.37,4021745489393.974,927890273555.9536,-8724227140109.977,-24764442574540.14,7299740068684.103,-1187806879444.2683,-1121981972459.1067,1036.246666666667
4508315176133.656,396696106042.0238,-11512132983294.39,-3976595719464.8457,5895279677424.383,8681926875994.2,1533575961703.393,353824019115.65564,-3326730882003.644,-9443201665035.34,2783544069583.2964,-452935782806.1574,-427835297530.6775,977.3433333333334
5448885870638.746,479458829961.09143,-13913911902789.768,-4806233632835.441,7125212721235.983,10493239236200.844,1853526253713.6042,427642503631.09924,-4020787711837.947,-11413338602068.0,3364275843197.668,-547431575573.33307,-517094569786.1783,910.6983333333334
6226897468025.536,547917766598.571,-15900590200402.664,-5492485086098.202,8142576667415.471,11991501630413.09,2118179396083.025,488702732732.1515,-4594890000561.826,-13042976444157.91,3844638875745.846,-625596116759.4146,-590927280831.4755,865.9449999999999
8828462915184.256,776834970631.1389,-22543774297447.72,-7787216860736.814,11544502924919.447,17001488811786.246,3003143760991.2593,692880200378.5747,-6514611219080.956,-18492264314715.32,5450909078679.159,-886966909669.0508,-837813610142.965,829.9133333333334
9573896065257.203,842427207292.3025,-24447262665851.004,-8444732188272.369,12519265534843.227,18437013132217.676,3256714842995.728,751383674780.4163,-7064673774855.279,-20053662621200.52,5911157703063.262,-961858181101.0353,-908554588143.8164,844.3366666666667
8943008957763.496,786914120491.5862,-22836271427478.48,-7888253124094.878,11694288597709.348,17222076838971.83,3042108440233.8813,701870060522.5768,-6599135879996.538,-18732194617250.234,5521632592129.6455,-898474987964.3291,-848683935301.3472,831.6333333333333
8869280535405.936,780426590662.3221,-22648003466245.973,-7823220362922.1875,11597877875976.518,17080093708290.96,3017028533744.8784,696083681247.2687,-6544730978971.025,-18577761640536.324,5476110920836.937,-891067696969.3418,-841687156809.8488,808.4783333333332
9152922873421.457,805384862371.4979,-23372293586805.86,-8073409351011.853,11968781532479.307,17626320369065.074,3113514039550.311,718344660638.1039,-6754033528465.121,-19171884119161.402,5651238700056.328,-919564301430.0845,-868604552518.4961,856.995
13812463230895.957,1215387622618.5376,-35270585293905.51,-12183394526265.365,18061810268886.938,26599470590971.727,4698531699302.603,1084037212313.5723,-10192355007231.72,-28931845071976.234,8528152891430.172,-1387693155183.6729,-1310790970749.2615,840.6766666666666
9792044757892.65,861622579860.7241,-25004312630406.203,-8637152016694.686,12804526825521.691,18857114867193.094,3330921631189.462,768504527465.4056,-7225647849301.052,-20510601029424.082,6045847991320.867,-983774894984.3145,-929256727344.111,829.555
9966634714611.488,876985107319.7672,-25450133828001.746,-8791150473602.533,13032828605143.25,19193332939432.96,3390311211407.47,782206791021.7673,-7354479533107.306,-20876300336801.246,6153644134819.842,-1001315383577.8604,-945825149555.562,777.7616666666667
9459588742951.678,832369084575.3097,-24155374893004.71,-8343906490848.805,12369792121471.078,18216884674516.57,3217831349927.1787,742412499240.1343,-6980325135777.945,-19814232298717.18,5840581422130.107,-950374224193.7611,-897706939706.8035,758.4449999999999
8459364790945.758,744357268235.71,-21601270074581.2,-7461650923844.787,11061853387136.678,16290694992884.848,2877589100095.896,663912442387.1544,-6242250007591.096,-17719144621592.117,5223018809881.872,-849884813612.3103,-802786540996.9403,809.33
10753992908056.576,946266434298.9861,-27460679220226.61,-9485646150536.107,14062414417322.658,20709594790043.06,3658143771167.7266,844000634221.9237,-7935478953243.379,-22525515730836.37,6639778223807.657,-1080418761913.1837,-1020544803151.9236,850.6383333333332
11044199417007.947,971802345756.4753,-28201731084208.69,-9741625166621.803,14441901909079.629,21268462396544.39,3756862173232.214,866776728845.7324,-8149625109949.451,-23133387799877.16,6818958638458.541,-1109574991998.3425,-1048085190704.0265,790.9683333333334
8516877621573.929,749417965622.6143,-21748130718681.45,-7512380574173.834,11137059901082.27,16401450635034.871,2897152992300.4224,668426135621.9937,-6284689147062.061,-17839611992008.906,5258528460548.567,-855663104261.4286,-808244481275.996,805.4283333333333
9722160865062.736,855473368798.8961,-24825861693164.26,-8575510380341.859,12713143537523.799,18722535295792.125,3307149491400.826,763019830693.0923,-7174079739778.884,-20364220947625.51,6002699847597.073,-976753969761.8954,-922624829351.2163,787.2583333333333
7275979375105.216,640228711342.6667,-18579455745440.707,-6417836263591.783,9514404396696.037,14011780140050.53,2475041485206.0483,571037309937.6107,-5369017953367.381,-15240403190205.86,4492367582700.099,-730994047831.6284,-690484286420.0558,735.4133333333333
7428368044497.399,653637712037.1327,-18968585281565.285,-6552251918851.205,9713674816308.984,14305243931715.312,2526878943115.198,582997156643.4447,-5481467071022.663,-15559599361589.602,4586456066514.25,-746304049110.3357,-704945842535.2999,711.9116666666666
10368238049555.46,912323059787.0386,-26475641270322.03,-9145387967289.8,13557983700575.16,19966723992898.164,3526923041778.706,813725599868.5654,-7650826543863.305,-21717506339975.832,6401603690663.141,-1041663264716.2474,-983937003029.89,722.88
7766737409712.772,683411544699.5764,-19832622745155.95,-6850713348989.825,10156142123175.203,14956861671713.86,2641980729865.416,609553243363.0725,-5731153213704.978,-16268354208191.412,4795373588940.09,-780298916992.9011,-737056808075.8124,729.5883333333334
7942559553379.504,698882494638.6666,-20281590467172.31,-7005798677696.993,10386055171480.004,15295452699499.75,2701789464778.8604,623352224129.8245,-5860894169503.813,-16636634540079.2,4903930537032.842,-797963163785.9104,-753742166343.8545,726.1183333333333
6185404173344.238,544266683290.7118,-15794635699303.9,-5455885590573.079,8088318126944.027,11911595565836.004,2104064784971.656,485446236151.89185,-4564271689596.037,-12956063810035.354,3819019908534.505,-621427414028.9318,-586989601284.9255,714.8433333333334
9831832963875.82,865123643595.2303,-25105913047284.637,-8672247533904.644,12856555784368.525,18933737286056.758,3344456221342.1294,771627178502.8192,-7255007889178.017,-20593942165998.336,6070414102418.908,-987772361556.5369,-933032612628.5862,693.8349999999999
5327545160439.821,468781879203.49835,-13604064067272.963,-4699204141724.423,6966542403607.553,10259566114749.744,1812250227997.5718,418119263651.0908,-3931248879428.2324,-11159176224215.104,3289356685134.383,-535241162060.7842,-505579530291.37915,660.4783333333332
6991026493846.612,615155100500.7524,-17851819087137.676,-6166491268880.8,9141786900569.44,13463029678878.52,2378110178606.3613,548673495838.4655,-5158748399909.397,-14643535504508.514,4316430746836.7104,-702365730650.2885,-663442491228.4945,655.3783333333334
6951797852481.897,611703287670.6896,-17751647458405.273,-6131889328262.121,9090489719336.502,13387484793129.57,2364765926118.7363,545594736688.0985,-5129801203782.134,-14561366453943.947,4292210038366.1255,-698424545608.4374,-659719724084.7372,658.8783333333333
7713285881571.295,678708217685.4912,-19696132522112.453,-6803565982495.284,10086246379712.648,14853926954586.13,2623798336767.254,605358251778.5657,-5691710851195.177,-16156393586114.64,4762371390157.939,-774928765284.97,-731984284838.421,662.4599999999999
7472386443465.611,657510975420.3997,-19080987748961.6,-6591078694269.613,9771235253152.637,14390012757783.023,2541852512521.5854,586451843109.269,-5513948718334.599,-15651801101496.197,4613634148060.8955,-750726407228.3711,-709123140621.796,665.6566666666666
9149465100079.791,805080626171.9691,-23363464088678.37,-8070359426258.371,11964260097550.105,17619661555471.246,3112337822387.4976,718073269532.378,-6751481953644.383,-19164641527784.83,5649103692073.037,-919216946823.152,-868276441708.7312,676.4566666666667
8321334621468.633,732211700948.3082,-21248805250192.87,-7339900273191.499,10881358782364.025,16024882079754.91,2830635903784.413,653079463804.2847,-6140396115500.868,-17430023895145.04,5137795577341.517,-836017434357.6995,-789687586587.2828,701.075
9965465335473.734,876882211196.0287,-25447147841383.52,-8790119020948.794,13031299475051.602,19191081037593.457,3389913432591.0884,782115023011.0929,-7353616655270.298,-20873850975083.934,6152922145549.787,-1001197876868.849,-945714178325.9801,739.2549999999999
7257737428973.2,638623558832.0409,-18532874342448.49,-6401745802640.306,9490550364703.576,13976650564745.922,2468836195372.231,569605643166.6052,-5355557059124.85,-15202193251155.371,4481104589002.437,-729161320029.7882,-688753134536.6274,722.3566666666667
10696320821973.887,941191731899.0381,-27313411651045.742,-9434776006040.338,13986999680059.176,20598532289923.293,3638525686592.5293,839474400822.3395,-7892922194391.929,-22404714643242.133,6604170144935.435,-1074624589525.5151,-1015071752756.9497,756.4316666666667
11728147453491.45,1031984324689.3772,-29948215340673.81,-10344907005190.512,15336263500228.818,22585581350063.67,3989518123771.481,920454773642.7173,-8654317398492.335,-24565998095088.605,7241245158193.992,-1178288853847.3066,-1112991217119.408,781.765
8591837263379.086,756013823615.8271,-21939542655380.84,-7578499331915.231,11235080574332.924,16545804808945.951,2922651720349.262,674309156022.7681,-6340002610321.435,-17996623869685.73,5304810367843.388,-863194062360.1694,-815358089194.8796,794.3016666666666
10381511679573.682,913491044506.4479,-26509535896135.54,-9157096089272.104,13575340958480.617,19992285778938.863,3531438277076.581,814767333512.48,-7660621248244.647,-21745309562625.24,6409799096168.002,-1042996860398.889,-985196672020.7031,796.0483333333334
7673983114506.8955,675249884802.5404,-19595771616456.117,-6768898662723.594,10034852281519.414,14778239323686.191,2610428869179.934,602273673161.7484,-5662708950922.295,-16074069286202.691,4738104903150.774,-770980137278.2656,-728254486822.7789,802.5533333333333
10944181194803.09,963001478671.6583,-27946331389827.652,-9653403237649.213,14311113229221.855,21075851558906.297,3722839384283.3486,858927122551.862,-8075820874898.758,-22923887610628.44,6757205249247.522,-1099526288008.4756,-1038593479650.5405,800.4816666666667
5882330521230.779,517598607299.44293,-15020726773857.734,-5188557015625.515,7692005164311.582,11327948691909.578,2000969384660.2402,461660202791.8205,-4340630495716.6797,-12321239924842.297,3631894704223.687,-590978713977.8247,-558228178645.1871,788.68
8399645425216.82,739102427932.9281,-21448774588649.465,-7408974953645.391,10983761559757.66,16175689847407.611,2857274591154.989,659225511304.6654,-6198182484540.673,-17594055213820.42,5186146630175.056,-843885019012.8439,-797119210777.0231,783.2466666666667
8969655564214.232,789258818651.151,-22904314562677.973,-7911757004837.106,11729132968186.63,17273391859696.803,3051172720842.1133,703961363536.8662,-6618798697131.743,-18788009227769.273,5538084853102.881,-901152053136.1158,-851212689507.5297,788.4666666666667
10453983475522.076,919867997355.7605,-26694595037575.266,-9221020430214.916,13670108439503.574,20131848962516.16,3556090723632.672,820455095734.7123,-7714098888806.416,-21897110379931.55,6454544918656.279,-1050277886120.1058,-992074193154.6788,808.6783333333333
9580489499878.498,843007407242.8121,-24464099121347.758,-8450548007387.594,12527887559920.078,18449710426311.668,3258957694870.2407,751901100488.2495,-7069539016303.332,-20067473428167.832,5915228477877.742,-962520714724.4103,-909180336741.3555,827.2816666666665
10969715930958.488,965248382532.9696,-28011535011112.992,-9675926399775.523,14344503861841.977,21125025173830.223,3731525416578.467,860931079707.2153,-8094663011364.848,-22977373261103.9,6772970733522.893,-1102091869915.1133,-1041016764834.281,845.0100000000001
8714337520944.768,766792878597.7977,-22252351192404.145,-7686551677585.255,11395267531566.691,16781710769854.16,2964322157932.7754,683923293025.2804,-6430396791112.856,-18253215243040.402,5380445035131.044,-875501247129.6274,-826983260277.5585,859.6850000000001
9148550228703.03,805000176529.9904,-23361127754116.406,-8069552502731.2295,11963064026286.799,17617899608306.62,3112026594320.855,718001390962.6564,-6750806649859.9795,-19162725347100.703,5648538525246.542,-919125231027.2068,-868189685968.1096,833.3616666666668
11222363154747.523,987479301289.2897,-28656677937193.535,-9898775843808.154,14674876734258.07,21611562641174.434,3817467429850.2163,880759495743.1248,-8281093998192.263,-23506572565388.797,6928961480149.336,-1127474477011.7646,-1064992708964.99,838.9233333333334
13869158832862.533,1220376401491.2827,-35415359590694.38,-12233403380540.316,18135948120270.62,26708652756064.21,4717817631929.167,1088486836244.6836,-10234191274587.61,-29050600938096.465,8563158116129.88,-1393389142808.364,-1316171359212.5938,824.5133333333334
7821419436480.208,688223138609.7595,-19972254701763.258,-6898946029267.092,10227646862329.816,15062165783625.344,2660581671287.4985,613844766708.9332,-5771503479258.977,-16382891959975.049,4829135477630.047,-785792818299.6866,-742246083001.3606,823.2883333333333
10189583276188.62,896602822121.8282,-26019440899398.586,-8987804113964.137,13324366410966.156,19622678376843.582,3466150786640.196,799704418908.2711,-7518995648816.824,-21343292927126.992,6291298129749.26,-1023714124221.6803,-966982795681.1826,823.2099999999999
7246465331037.281,637631710086.3165,-18504090640618.75,-6391803163877.219,9475810486463.982,13954943207778.854,2465001807115.939,568720970043.1914,-5347239237095.204,-15178582519567.154,4474144879701.696,-728028875319.6938,-687683430667.7582,832.9566666666666
9023253745168.3,793975053475.2258,-23041179080005.48,-7959033708828.141,11799220488226.08,17376608872001.273,3069404986750.5386,708167837379.7336,-6658349208911.295,-18900276920638.0,5571177538842.931,-906537017722.9996,-856299128952.3092,845.3383333333334
9444730152835.527,831061645358.0854,-24117433133410.918,-8330800368909.0205,12350362353349.418,18188270710336.2,3212776971405.4326,741246378358.4249,-6969360878817.105,-19783109312255.44,5831407400594.021,-948881374252.5024,-896296875868.2855,837.3966666666668
10796358369790.473,949994253804.8553,-27568860847675.777,-9523014940245.99,14117813405188.01,20791180451390.207,3672555066439.1567,847325591128.6309,-7966740873862.182,-22614255198425.15,6665935731226.636,-1084675062329.5177,-1024565240780.3894,855.9266666666666
8989630018541.97,791016433903.2373,-22955319765368.668,-7929375632336.339,11755252575216.727,17311857683839.629,3057967333954.475,705528958029.1249,-6633537913457.237,-18829848038761.29,5550417411290.995,-903158961379.8058,-853108269581.9194,875.4916666666667
11146918313603.479,980840739076.821,-28464027401800.355,-9832229144635.514,14576221560619.887,21466274334555.62,3791803680760.924,874838453821.1578,-8225422645728.002,-23348544583049.047,6882380135999.03,-1119894606581.0454,-1057833053241.3148,781.3866666666668
10148483443347.682,892986375857.208,-25914489909261.76,-8951551545292.195,13270622386084.51,19543529240266.895,3452169932383.2515,796478633972.3569,-7488667267175.844,-21257203702522.125,6265921745836.187,-1019585440302.9658,-963082439501.5992,773.7366666666668
9120595310746.658,802540302609.5316,-23289744860566.934,-8044894674527.233,11926508629964.578,17564065790663.113,3102517351311.706,715807599056.8281,-6730178900351.054,-19104170778206.08,5631278995081.886,-916316191152.253,-865536732398.8574,770.495
8817773896476.432,775894438391.242,-22516479030085.855,-7777788485631.344,11530525530815.67,16980904013546.752,2999507682280.707,692041218104.4193,-6506723483049.752,-18469874636205.348,5444309218605.38,-885893248875.0541,-836799238959.689,765.2683333333333
12360629045440.553,1087637700114.0911,-31563278638060.89,-10902792540353.08,16163325418906.438,23803588555188.535,4204666951771.3755,970093602824.4266,-9121032067312.83,-25890806203811.496,7631754920681.092,-1241832023067.778,-1173013181985.1018,759.3116666666666
10593986044599.633,932187083923.3898,-27052096375699.83,-9344510794624.438,13853182052622.484,20401460199469.613,3603714863524.9546,831442902105.2198,-7817408321833.659,-22190362307557.63,6540986126058.83,-1064343361728.9624,-1005360275116.393,765.705
13303749754275.719,1170624893810.182,-33971568166809.938,-11734679715053.082,17396593378603.152,25619811004990.375,4525484595014.052,1044112007830.2305,-9816970028433.639,-27866284237716.88,8214060476751.282,-1336584581314.722,-1262514539807.3728,750.1066666666667
16968225901594.709,1493069879067.9497,-43328930246211.28,-14966960500498.404,22188430600420.69,32676707711022.48,5772015144366.375,1331709378129.2751,-12521023614440.697,-35541965065392.16,10476597595649.81,-1704742612204.5754,-1610270236276.1785,739.5033333333333
10324703325331.627,908492330626.2452,-26364474019405.97,-9106987804641.348,13501055616762.809,19882886700730.71,3512114015166.336,810308917292.4146,-7618701922683.934,-21626317685915.92,6374724400503.943,-1037289384746.1636,-979805575156.6036,735.58
11521531955744.709,1013803809183.5735,-29420615702254.844,-10162660151076.703,15066083678944.646,22187689714049.992,3919234528777.46,904239038021.0416,-8501853681122.02,-24133217414303.42,7113675594201.326,-1157530937527.1453,-1093383602592.1255,722.635
8890632942123.98,782305468085.9019,-22702527475321.824,-7842054461511.164,11625799434342.723,17121213236988.633,3024291888779.821,697759427143.3489,-6560487008354.3955,-18622486906991.426,5489294229741.006,-893213017925.8586,-843713526033.2916,711.5566666666667
