Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Close
9488236686794.215,834889931404.9839,-24228528354376.36,-8369175710110.033,12407253751967.447,18272053682894.625,3227576401278.2856,744660804357.0327,-7001464578939.741,-19874239054845.03,5858269100202.378,-953252527867.9824,-900425669119.1498,13390385570310.434,1165.739705882353
8272389928145.92,727904990143.1277,-21123823199286.133,-7296728241089.43,10817356619318.38,15930626316644.146,2813986564435.358,649238105198.8654,-6104279192074.962,-17327503480877.23,5107575727098.73,-831100258798.8794,-785042812263.0428,11674507697748.605,1128.2044117647058
8889823687308.17,782234298850.0232,-22700460865389.96,-7841340684549.789,11624741394190.305,17119654706908.605,3024016592858.5547,697695855893.6619,-6559889695833.346,-18620791898314.906,5488794359917.435,-893131863403.7655,-843636767775.2574,12545868287012.6,1081.4485294117646
7654301430842.214,673518084692.1797,-19545513712557.957,-6751538309638.385,10009115760600.531,14740337104796.023,2603733819409.6206,600728962639.3243,-5648185527963.132,-16032843758932.75,4725952784198.15,-769002884839.0918,-726386745164.3314,10802223078676.166,1074.4147058823528
5219930668323.144,459312676059.86816,-13329266657532.486,-4604281913726.582,6825820847091.9795,10052326434615.904,1775643409174.3264,409673355404.8214,-3851838943106.9756,-10933764833150.242,3222912717548.528,-524429615521.0639,-495367021706.9487,7366688444292.716,1036.125
5923767624075.216,521244762163.0337,-15126538128367.781,-5225107010229.268,7746190315978.141,11407746766731.814,2015064903706.8655,464912316351.3532,-4371207404501.27,-12408035153504.816,3657478987845.448,-595141678847.952,-562160548830.0571,8359987032801.398,1036.654411764706
10850659362589.36,954772334803.8741,-27707520166365.098,-9570911589171.506,14188819972357.662,20895751008712.234,3691026415893.179,851587238499.6038,-8006810036999.325,-22727995122443.16,6699462376515.271,-1090130585950.5465,-1029718377959.5867,15313120968496.855,999.6691176470588
9118293912600.686,802337842720.994,-23283867295697.19,-8042864659483.994,11923499382724.32,17559633287084.922,3101734428566.93,715626823886.7561,-6728480286316.3955,-19099349841398.797,5629857647691.825,-916085408705.457,-865318357289.3942,12868299875789.953,1038.7911764705882
7568939260292.714,666006850140.0239,-19327538465099.438,-6676243856478.864,9897492070671.418,14575950108198.656,2574696501519.7544,594029550009.8611,-5585196011697.165,-15854042303665.38,4673248259988.445,-760426766765.5326,-718285893933.8137,10681754846347.404,1064.8617647058825
8204658767588.859,721945176252.2993,-20950869666966.133,-7236985446033.873,10728788227317.885,15800192607220.85,2790946737743.8726,643922429572.0317,-6054299784417.611,-17185632651291.291,5065756940368.001,-824295421522.3386,-778615181222.382,11578921562854.127,1048.0
7941191920565.778,698762155728.5752,-20278098165357.582,-7004592348299.835,10384266789506.875,15292818968466.588,2701324242821.3345,623244886867.9132,-5859884979255.675,-16633769864412.709,4903086129903.562,-797825763548.2458,-753612373008.6194,11207100859176.098,1063.6808823529411
6874301679102.739,604884234855.5585,-17553758426882.768,-6063533205497.292,8989152149954.584,13238245890309.947,2338404358614.6987,539512646687.5754,-5072616022766.724,-14399041513370.885,4244362033652.0093,-690638735980.7428,-652365393567.2676,9701439475576.738,1064.8808823529412
8798940240183.363,774237265750.3596,-22468386986743.766,-7761176201099.075,11505897993214.182,16944635144845.42,2993101128784.4365,690563104429.4725,-6492825923218.408,-18430425707090.465,5432680741931.883,-884001067605.5798,-835011996914.6986,12417608024649.6,1009.895588235294
5840227828630.119,513893914354.65186,-14913216326236.193,-5151420033854.668,7636949809792.868,11246869186673.566,1986647488066.8743,458355888284.40186,-4309562525001.225,-12233050998793.139,3605899469008.8076,-586748748917.1399,-554232681361.1976,8242090404940.595,979.154411764706
5443648906402.689,478998099660.89545,-13900538851412.932,-4801614397581.48,7118365014511.538,10483153909931.889,1851744785895.0708,427231372735.1128,-4016922979580.2954,-11402369338192.791,3361041953103.06,-546905742079.5809,-516597678516.4694,7682413741783.579,967.129411764706
7376104073895.476,649038885039.0791,-18835127537044.08,-6506152054340.649,9645331988010.21,14204596173855.576,2509100518014.0444,578895365245.0125,-5442901016778.9,-15450126235999.445,4554187089571.347,-741053208550.8057,-699986015010.1539,10409613994983.094,927.6691176470588
7942203958120.301,698851207602.8383,-20280682442196.156,-7005485025465.733,10385590179143.37,15294767911923.088,2701668504066.742,623324314251.7914,-5860631772120.466,-16635889703156.764,4903710985383.567,-797927439087.0616,-753708415300.6589,11208529110937.807,904.7220588235294
6661619021131.131,586169859072.2815,-17010666083729.928,-5875934765059.014,8711038640648.439,12828670361967.924,2266056920594.755,522820741865.7446,-4915675278976.227,-13953552447380.404,4113046445280.3877,-669271279883.3492,-632182012900.1588,9401288366905.738,910.6985294117648
6232384328724.343,548400561291.4001,-15914601123034.06,-5497324813389.632,8149751498116.01,12002068031411.555,2120045844966.6797,489133367614.7491,-4598938847707.357,-13054469313571.51,3848026650842.4185,-626147328253.5801,-591447963828.4956,8795526169338.662,871.8838235294118
5375368715062.611,472989969121.3214,-13726183139456.688,-4741387290997.971,7029078639566.604,10351662764007.234,1828518183888.489,421872587829.2175,-3966538391982.0767,-11259348325378.62,3318884165570.962,-540045808348.482,-510117929997.9065,7586052624458.208,886.4823529411765
8536763172714.01,751167736544.9373,-21798909166602.11,-7529920788123.145,11163063155549.033,16439745427905.41,2903917384956.148,669986808648.7334,-6299362906933.214,-17881264656236.832,5270806299580.071,-857660926603.3336,-810131600949.4285,12047607689000.791,1042.785
6147049201674.861,540891779301.0909,-15696694901584.895,-5422054306732.332,8038163555265.498,11837733078692.562,2091017712953.2983,482435996170.81604,-4535969051526.042,-12875724841396.408,3795338437289.393,-617574127461.5559,-583349783292.9579,8675095610016.277,1035.4083333333333
6640703065672.795,584329433305.3362,-16957256452038.5,-5857485690000.9375,8683688052615.574,12788391247124.457,2258942015895.007,521179184728.4275,-4900241127610.825,-13909741537199.857,4100132335783.2446,-667169975060.705,-630197129532.7241,9371770342293.557,1071.3
5961835038020.874,524594395426.4618,-15223744356189.428,-5258684658977.576,7795969018312.147,11481055297151.35,2028014133576.7344,467899918317.0149,-4399297665155.947,-12487771767024.29,3680982681367.79,-598966264036.5244,-565773116739.5201,8413709928363.029,1062.71
6007783951193.901,528637522165.00195,-15341076360359.389,-5299214239422.637,7856053844100.189,11569541766869.37,2043644392776.4758,471506111365.12726,-4433203849453.212,-12584017101927.484,3709352721626.94,-603582593406.3154,-570133607098.5782,8478555894824.49,1047.26
6984815253253.895,614608544979.9692,-17835958671571.965,-6161012598102.214,9133664730195.59,13451068456947.566,2375997340429.1343,548186062374.46686,-5154165167646.845,-14630525381826.867,4312595895841.396,-701741595905.3055,-662853034951.6105,9857403252804.229,1101.5879310344828
