Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Close
8794499008931.7295,773846430617.8331,-22457046271208.527,-7757258736281.593,11500090253643.51,16936082479836.783,2991590383998.0146,690214602058.8972,-6489548839302.836,-18421122925117.246,662.4599999999999
8519831389683.438,749677855907.303,-21755673317983.742,-7514985952100.728,11140922308506.988,16407138913287.273,2898157769003.611,668657979517.2838,-6286868823901.997,-17845798974465.58,665.6566666666666
10431995259913.2,917933145184.7051,-26638447599097.3,-9201625489536.973,13641355342720.838,20089505104112.367,3548611099692.79,818729495341.4071,-7697873806545.643,-21851053300814.664,676.4566666666667
9487781239425.172,834849787391.3004,-24227365558987.457,-8368773914171.395,12406657875338.139,18271176737448.113,3227421494898.2754,744625155266.5675,-7001128751268.296,-19873284904135.12,701.075
11362378675184.484,999799547912.304,-29014212607610.07,-10022277691382.307,14857967418561.129,21881198980150.13,3865095989053.822,891748328838.095,-8384412995938.911,-23799851908972.38,739.2549999999999
8275093858337.442,728142887669.6469,-21130727881710.117,-7299113241902.032,10820892296500.676,15935833499121.287,2814906358558.6714,649450356336.3522,-6106274546530.363,-17333167152575.316,722.3566666666667
12195682140190.83,1073123683017.7797,-31142080740138.832,-10757299743402.188,15947633306072.973,23485940310081.61,4148557571444.7695,957148081817.4553,-8999315918265.238,-25545305042583.477,756.4316666666667
13372145508409.982,1176643166098.3577,-34146219157013.28,-11795008742254.14,17486030755805.781,25751524816920.004,4548750522711.863,1049479912822.6161,-9867440018768.863,-28009547321052.26,781.765
9796201704155.865,861988382722.0002,-25014927373579.516,-8640818697379.981,12809962769863.107,18865120031647.31,3332335667665.947,768830728616.5007,-7228715171352.887,-20519308270968.223,794.3016666666666
11836744492429.588,1041540039994.3948,-30225521359557.195,-10440695926259.475,15478270148201.373,22794712936705.062,4026459138777.1567,928977690844.483,-8734452088240.828,-24793467574478.582,796.0483333333334
8749686959786.507,769903324452.8805,-22342617232938.477,-7717731910223.859,11441491965888.451,16849785303100.693,2976346845608.293,686697641323.2158,-6456481585330.5205,-18327258781469.145,802.5533333333333
12478286446146.605,1097990620315.5564,-31863720272358.125,-11006573140140.084,16317179609769.922,24030168010502.312,4244689977551.0796,979327597084.7489,-9207852499062.18,-26137253301373.145,800.4816666666667
6706888702617.9375,590153212108.3638,-17126263534681.244,-5915865200941.935,8770235258083.723,12915848715299.227,2281456118765.3496,526373617969.5182,-4949080220652.047,-14048374969055.54,788.68
9577069293378.615,842706424960.2313,-24455365684468.992,-8447531167321.499,12523415005584.26,18443124048039.785,3257794271595.104,751632727587.9938,-7067015349153.192,-20060309382635.406,783.2466666666667
10226980845920.807,899893509068.8196,-26114936593105.734,-9020790906271.23,13373269168046.504,19694696906533.79,3478872154037.0493,802639446924.0153,-7546591618147.805,-21421626408038.35,788.4666666666667
11919375053182.744,1048810884920.1969,-30436521244816.723,-10513580888868.123,15586321701162.299,22953839448868.5,4054567252508.982,935462737554.0795,-8795425979801.642,-24966547135881.2,808.6783333333333
10923438688181.793,961176328914.7952,-27893364615350.13,-9635107166643.82,14283989524226.072,21035906428275.902,3715783475128.783,857299156881.6996,-8060514653168.592,-22880440046626.914,827.2816666666665
12507400524797.383,1100552484880.7842,-31938063838975.145,-11032253496092.025,16355250788511.898,24086234557801.863,4254593578115.591,981612459786.2344,-9229335840017.182,-26198236325640.7,845.0100000000001
9935873487400.57,874278396318.2357,-25371583980254.71,-8764017326537.259,12992604001922.453,19134094210909.246,3379847276551.7954,779792531360.3013,-7331780394863.232,-20811867449159.652,859.6850000000001
10430952146052.29,917841418479.9628,-26635783767844.945,-9200705455161.393,13639991611659.75,20087496175254.938,3548256245099.6035,818647541162.6193,-7697103841766.189,-21848868518688.566,833.3616666666668
12795462680581.158,1125899632124.116,-32673639948968.73,-11286340955675.037,16731933818760.145,24640972621457.707,4352582549631.583,1004220332469.02,-9441899869674.783,-26801616367365.902,838.9233333333334
15813274068026.5,1391443182351.2793,-40379722676358.81,-13948225899816.783,20678162357605.477,30452549509970.77,5379139724025.046,1241065941230.0977,-11668773387048.812,-33122781273979.543,824.5133333333334
8917790230867.482,784695109627.4456,-22771873994771.18,-7866008721655.615,11661311609020.762,17173511275258.713,3033529838071.198,699890717827.2391,-6580526432925.257,-18679370804817.797,823.2883333333333
11617912443511.422,1022284503857.8424,-29666727088313.684,-10247673376346.834,15192115136800.01,22373295659901.297,3952019946615.196,911803325782.3975,-8572974060208.289,-24335098086202.438,823.2099999999999
8262241689281.597,727012006104.3562,-21097909412240.465,-7287776889523.722,10804086249562.936,15911083304163.578,2810534483298.5586,648441673781.7902,-6096790770261.813,-17306246776649.824,832.9566666666666
10288092174674.658,905270844114.2262,-26270986152330.617,-9074694642341.492,13453181236001.627,19812382407415.508,3499660135569.7085,807435565025.9753,-7591686139728.942,-21549631272479.855,845.3383333333334
10768649216955.893,947556064779.744,-27498104575186.832,-9498573852036.895,14081579646358.559,20737819288975.773,3663129349120.9097,845150904548.0138,-7946294002674.595,-22556215069883.56,837.3966666666668
12309742493798.484,1083160102173.6893,-31433337636497.707,-10857907607720.412,16096783900730.543,23705593009476.72,4187357034077.2573,966099816062.4651,-9083482162510.488,-25784218034164.777,855.9266666666666
10249755227875.06,901897498786.0278,-26173091471765.867,-9040879232369.828,13403050102095.465,19738554693927.633,3486619204930.8213,804426779640.6095,-7563396910387.353,-21469329992146.816,875.4916666666667
12709442326758.209,1118330506631.467,-32453984542881.242,-11210466044656.926,16619449614218.996,24475318464696.668,4323321373604.0615,997469305978.6112,-9378424761712.996,-26621436745424.117,781.3866666666668
11571051424130.502,1018161120700.7307,-29547064548519.848,-10206339088450.371,15130837520384.043,22283051759458.74,3936079320169.536,908125365071.8129,-8538394384778.215,-24236941267942.13,773.7366666666668
10399078635587.775,915036730687.0135,-26554394746847.367,-9172591205406.875,13598312047118.398,20026116179338.54,3537414039909.2754,816146233543.8125,-7673584588701.01,-21782106038207.65,770.495
10053809100843.098,884655771124.7913,-25672736049863.973,-8868043292935.896,13146821848714.215,19361209452213.33,3419964946732.534,789048390038.3317,-7418806213288.794,-21058897164863.215,765.2683333333333
14093285476377.93,1240097777081.4326,-35987674638673.62,-12431096119464.78,18429026430517.355,27140266699797.06,4794057929136.226,1106076885986.2952,-10399576614691.271,-29520060969590.16,759.3116666666666
12079002541895.717,1062856804684.2766,-30844135484986.4,-10654381567604.4,15795057735824.588,23261243555573.406,4108867126455.6465,947990764353.4803,-8913216856520.23,-25300905777123.41,765.705
15168608531493.87,1334717735931.657,-38733547175876.86,-13379593432512.875,19835168250725.703,29211078903574.473,5159846321899.747,1190470852378.9473,-11193067975354.818,-31772452476672.25,750.1066666666667
19346754180528.95,1702361584069.0176,-49402581462564.836,-17064960551097.768,25298703292117.383,37257179105255.33,6581109820906.594,1518382306317.0544,-14276163422271.264,-40524075127292.2,739.5033333333333
11771973002982.469,1035840629271.0854,-30060125372591.383,-10383563691529.61,15393571827129.637,22669978796203.633,4004426090238.9175,923894314235.501,-8686656703399.772,-24657795960868.19,735.58
13136567595434.523,1155914189103.006,-33544663014996.793,-11587215357891.95,17177978363219.893,25297858551684.71,4468614894912.061,1030991129566.8768,-9693604635003.969,-27516101424363.32,722.635
10136881194186.607,891965469632.2233,-25884863914999.92,-8941317779304.082,13255450812169.025,19521186580696.496,3448223289913.4067,795568151460.0989,-7480106063607.845,-21232901925582.07,711.5566666666667
9911978916428.078,872175814766.774,-25310568524897.434,-8742940879919.431,12961358124880.111,19088079125516.152,3371719169345.021,777917291432.7468,-7314148535685.048,-20761817288409.06,708.3449999999999
12888997023705.4,1134129901020.7847,-32912483429290.79,-11368843709855.592,16854243565652.652,24821097465161.316,4384399792969.5874,1011561212944.3068,-9510919967883.113,-26997535373884.156,699.1766666666666
11477786814052.783,1009954554490.071,-29308911152857.016,-10124074375385.291,15008880404440.043,22103447212272.953,3904353926047.9316,900805852493.4214,-8469573816441.719,-24041587985991.797,656.8183333333333
14342263546549.215,1262005895138.334,-36623447722380.445,-12650709163943.822,18754601604379.453,27619737905786.777,4878751775956.363,1125617211418.07,-10583299766649.635,-30041574698930.47,680.3966666666666
9452170466889.234,831716326827.1243,-24136432339105.434,-8337363162445.872,12360091632111.006,18202599031491.14,3215307921721.3765,741830334435.0138,-6974851209639.17,-19798693990436.312,656.2783333333333
12572548569175.584,1106284954975.4595,-32104421733043.273,-11089717820547.688,16440441147481.896,24211694099538.094,4276754753506.3125,986725513218.8757,-9277409422917.518,-26334696566612.49,667.9449999999999
14365912734514.879,1264086842435.7412,-36683836914965.7,-12671569153413.61,18785526408120.49,27665280664588.543,4886796441124.247,1127473279417.07,-10600750783494.312,-30091110896572.984,664.7133333333334
7192974867014.362,632924948928.4996,-18367501020676.613,-6344621446367.752,9405863802782.814,13851933524203.723,2446806171016.5776,564522933549.2135,-5307768167257.839,-15066540335052.002,662.8216666666667
7395523658830.207,650747643071.4108,-18884716032215.516,-6523281232065.801,9670725888968.29,14241993561086.848,2515706397352.858,580419466450.5486,-5457230924074.886,-15490802789714.328,656.5633333333333
6171301215364.469,543025745216.2885,-15758623271031.688,-5443445970240.175,8069876519069.351,11884436630593.193,2099267430113.508,484339380862.4602,-4553864917562.186,-12926523517342.543,651.2666666666667
7381445496731.877,649508871307.0099,-18848767128267.64,-6510863488349.144,9652316623544.375,14214882518033.867,2510917495081.423,579314600659.0739,-5446842567306.487,-15461314487317.293,640.27
11422689601480.357,1005106453732.9644,-29168218526182.72,-10075475452261.469,14936832855547.344,21997343237653.47,3885611715708.095,896481656440.6044,-8428916957578.853,-23926180379059.15,628.8083333333333
8390941315374.261,738336529344.5062,-21426548286700.746,-7401297407456.057,10972379647254.43,16158927785612.062,2854313742924.493,658542387133.6924,-6191759622984.627,-17575823362471.807,628.565
13153972717479.27,1157445731786.4175,-33589107509361.71,-11602567716830.566,17200738246563.693,25331376568944.71,4474535518768.331,1032357088675.8108,-9706447940659.934,-27552558616546.46,673.0383333333334
10001807998832.541,880080115059.558,-25539949916042.22,-8822175392644.406,13078823003316.674,19261068142668.918,3402275959184.5645,784967231956.0542,-7380434112846.718,-20949975102924.62,681.24
12245892594491.2,1077541819119.4446,-31270294766413.242,-10801588290968.287,16013290861655.416,23582633497346.348,4165637461042.373,961088707060.0719,-9036366664320.654,-25650476835919.832,662.7
10742932750148.053,945293244279.4573,-27432436576013.492,-9475890450652.414,14047951737023.436,20688295482929.06,3654381465622.6694,843132566200.3818,-7927317444572.021,-22502348898606.895,660.355
9690411929023.533,852679688835.06,-24744789820597.996,-8547505954771.377,12671627067028.168,18661394568153.99,3296349588345.176,760528130010.4752,-7150651974972.493,-20297718990072.023,667.635
10252479365284.709,902137211133.9147,-26180047627588.812,-9043282090014.191,13406612357894.887,19743800710696.207,3487545861532.5728,804640564195.9971,-7565407043626.527,-21475036054299.816,695.1633333333334
10281506350161.482,904691336483.0767,-26254168344645.766,-9068885468154.846,13444569231421.992,19799699256347.01,3497419815238.6187,806918614125.4083,-7586826209489.073,-21535835982234.07,684.3033333333333
16466799324695.389,1448948307180.0117,-42048521366329.81,-14524673227406.812,21532742295366.45,31711081523230.734,5601446861941.89,1292356215281.19,-12151016074007.916,-34491667979639.26,704.5949999999999
13454685919921.762,1183906104590.631,-34356988756380.973,-11867814211469.826,17593964554069.31,25910477662746.1,4576827961161.958,1055957846215.4231,-9928347283887.777,-28182438119368.547,708.4583333333334
14390414247581.65,1266242804434.8562,-36746402216067.16,-12693180924118.33,18817565817926.78,27712464577773.57,4895131013079.685,1129396180569.5676,-10618830588727.215,-30142432245993.004,721.9566666666667
16285396966068.332,1432986301075.7363,-41585303734593.305,-14364665690516.428,21295532050016.79,31361743937678.164,5539739888421.762,1278119247367.7712,-12017157352406.746,-34111698590524.113,716.9533333333333
13849110875055.312,1218612407186.3225,-35364165993636.75,-12215719948727.21,18109732825553.73,26670044908224.316,4710997953167.282,1086913290569.4114,-10219397331807.275,-29008608128168.516,734.8083333333333
13989828149970.572,1230994416852.2993,-35723492185247.77,-12339840749583.613,18293741188988.734,26941032378866.6,4758865194997.62,1097957130876.7091,-10323233997062.0,-29303357141338.78,735.85
9537591239802.79,839232693267.8372,-24354556990452.11,-8412709244100.888,12471791811738.37,18367098731382.504,3244365161091.73,748534342120.2365,-7037883971507.578,-19977617915667.05,721.7633333333332
11278351887235.537,992405894329.0521,-28799647275579.777,-9948161222427.967,14748090335770.42,21719383576146.652,3836512910115.96,885153635036.1864,-8322408628140.583,-23623847923825.72,725.9333333333333
14234131797297.205,1252491202686.4946,-36347329651282.79,-12555330739525.938,18613203811718.03,27411502216446.36,4841969011059.562,1117130701814.734,-10503508109160.355,-29815080100198.95,734.5916666666667
18438963685860.28,1622483269654.3606,-47084507875295.03,-16264236691497.383,24111635196670.992,35508993496238.81,6272310239993.475,1447136483636.3467,-13606295397339.94,-38622600264172.91,752.285
17534551459934.812,1542902073228.628,-44775061290784.9,-15466492532178.484,22928983976572.5,33767313952599.246,5964659884484.07,1376156006474.2021,-12938920804641.24,-36728201232815.55,800.4155172413792
10064479420621.287,885594703229.9612,-25699983482848.746,-8877455223450.672,13160775019095.816,19381758177261.008,3423594652463.2773,789885846479.4379,-7426679988820.361,-21081247833818.83,769.025
