Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Returns,MA20,Volatility,Lagged Volume
2000-02-02,877.8220588235295,913.0455882352941,927.6264705882353,886.8191176470588,898.2514705882353,897.4691176470589,903.4658823529412,712133.0,44697910525441.18,26760.617647058825,65993.9705882353,0.5602823529411766,0.028956058038410098,944.5428787878789,4.402227877654391,707123.3235294118
2000-02-03,897.4691176470589,917.1941176470588,930.2044117647059,892.475,908.4720588235294,907.4220588235294,910.4729411764705,868138.7647058824,48426317671029.414,26760.617647058825,65993.9705882353,0.5602823529411766,-0.0033009439620574933,935.9425757575757,4.354980375001951,903454.7941176471
2000-02-04,907.4220588235294,925.7897058823529,947.5264705882354,899.1191176470588,922.3294117647059,923.4044117647059,922.355,639974.8529411765,41045877949852.94,26760.617647058825,65993.9705882353,0.5602823529411766,-0.0009598021410837751,929.5296969696969,4.275719415353794,639954.2647058824
2000-02-07,923.4044117647059,926.5661764705883,962.3352941176471,905.189705882353,935.2764705882354,939.5720588235295,938.2111764705883,583045.5294117647,36076634892647.06,26760.617647058825,65993.9705882353,0.5602823529411766,-0.0019001619963721955,926.2109848484849,4.140183457127911,585664.8235294118
2000-02-08,939.5720588235295,939.225,979.3367647058823,913.8191176470588,940.1117647058824,940.9073529411766,945.1123529411765,681478.0294117647,48144127229411.766,26760.617647058825,65993.9705882353,0.5602823529411766,-0.005646728401916993,951.6918382352941,4.126069307257043,613512.2941176471
2000-02-09,940.9073529411766,985.9147058823529,998.025,934.2617647058823,948.9573529411764,951.2279411764706,960.7288235294118,735295.7941176471,40535235102794.12,26760.617647058825,65993.9705882353,0.5602823529411766,0.00792487526015497,951.4405882352941,4.091608209969554,722077.9117647059
2000-02-10,951.2279411764706,955.5426470588236,993.0220588235294,941.6911764705883,975.9455882352942,976.9205882352942,968.8223529411764,596793.6764705882,37933573873529.414,26760.617647058825,65993.9705882353,0.5602823529411766,0.008550965640925964,951.1109558823529,4.053642349259228,672402.9117647059
2000-02-11,976.920588235294,1000.8779411764706,1033.9308823529411,972.4132352941177,1017.5088235294119,1017.0220588235294,1015.8585294117647,611273.2058823529,34810486740147.06,26760.617647058825,65993.9705882353,0.5602823529411766,0.0032987739498259237,953.8178676470588,4.101734912230917,596267.0882352941
2000-02-14,1017.0220588235294,1048.355882352941,1072.0985294117647,1021.4382352941177,1054.3367647058824,1054.6279411764706,1052.8917647058825,713567.4411764706,44071568732058.82,26760.617647058825,65993.9705882353,0.5602823529411766,-0.008768170364936675,958.1068382352942,4.193207611251529,724237.0
2000-02-15,1054.6279411764706,1061.2,1083.0235294117647,992.5029411764706,1040.8999999999999,1043.110294117647,1042.9311764705883,737115.9411764706,49942099653235.3,26760.617647058825,65993.9705882353,0.5602823529411766,-0.0249734344547309,961.916544117647,4.2066604211467435,741732.3823529412
2000-02-16,1043.110294117647,1063.4514705882352,1091.0514705882354,1029.8500000000001,1059.3029411764708,1062.9426470588237,1064.1605882352942,556631.6176470588,41480705647794.12,26760.617647058825,65993.9705882353,0.5602823529411766,0.01265994567232636,967.0660294117648,4.216167877844172,564178.1176470588
2000-02-17,1062.9426470588237,1082.9779411764705,1128.2514705882354,1075.1750000000002,1105.9279411764708,1106.3764705882354,1107.5,546384.0882352941,39998595420294.12,26760.617647058825,65993.9705882353,0.5602823529411766,0.02111802776124848,972.2824264705882,4.234329906834299,546444.3235294118
2000-02-18,1106.3764705882354,1143.9382352941177,1157.2485294117646,1107.7558823529412,1124.4602941176472,1120.9382352941177,1130.014705882353,429243.9117647059,34119822723088.234,26760.617647058825,65993.9705882353,0.5602823529411766,-0.01480424279874655,978.7088235294117,4.292866174760161,429074.14705882355
2000-02-21,1120.9382352941177,1156.675,1192.795588235294,1110.1779411764708,1165.5955882352941,1165.739705882353,1167.045588235294,432668.4705882353,46260261059705.88,26760.617647058825,65993.9705882353,0.5602823529411766,0.004066567552057979,985.7870588235295,4.359324812471834,428633.17647058825
2000-02-22,1165.739705882353,1196.2220588235296,1208.9220588235294,1113.519117647059,1126.954411764706,1128.2044117647058,1139.0447058823531,541817.9117647059,40332353633088.234,26760.617647058825,65993.9705882353,0.5602823529411766,-0.025247460420959426,989.7407352941176,4.420059089734359,514266.64705882355
2000-02-23,1128.204411764706,1164.495588235294,1173.020588235294,1064.9941176470588,1082.2735294117647,1081.4485294117646,1113.1129411764705,487054.20588235295,43342675591764.7,26760.617647058825,65993.9705882353,0.5602823529411766,-0.003385385195699671,990.7283823529411,4.42786172620418,482165.79411764705
2000-02-24,1081.4485294117646,1076.0279411764704,1102.5294117647059,1043.4367647058823,1080.3235294117646,1074.4147058823528,1073.959411764706,462006.20588235295,37318839639705.88,26760.617647058825,65993.9705882353,0.5602823529411766,0.0019260204652924472,1000.8244852941177,4.2044898612594785,496929.70588235295
2000-02-25,1074.4147058823528,1072.1911764705883,1091.5735294117646,1020.645588235294,1037.389705882353,1036.125,1052.5249999999999,335237.76470588235,25449971482647.06,26760.617647058825,65993.9705882353,0.5602823529411766,-0.012782600923427622,1008.0768382352942,4.2431284632369906,222156.9705882353
2000-02-28,1036.125,1028.6470588235295,1065.520588235294,977.1852941176471,1035.9705882352941,1036.6544117647059,1022.8076470588235,391828.32352941175,28881556007500.0,26760.617647058825,65993.9705882353,0.5602823529411766,0.02351326146089758,1017.1174999999998,4.230708102612164,503389.82352941175
2000-02-29,1036.6544117647059,1051.8720588235294,1095.145588235294,973.3367647058823,997.9323529411764,999.6691176470588,1045.9214705882353,795367.2352941176,52902805021176.47,26760.617647058825,65993.9705882353,0.5602823529411766,-0.04576408944358142,1023.2098529411766,4.3517824260959905,793703.5882352941
2000-03-01,999.6691176470588,1023.8970588235294,1062.495588235294,977.3955882352942,1040.2617647058823,1038.7911764705882,1027.1232352941176,743736.7647058824,44456590956176.47,26760.617647058825,65993.9705882353,0.5602823529411766,0.020831006721278262,1030.275955882353,4.382515362252949,734357.2647058824
2000-03-02,1038.7911764705882,1076.8999999999999,1099.3970588235295,1036.1838235294117,1059.6264705882354,1064.8617647058825,1070.719705882353,776540.1764705882,36902652825000.0,26760.617647058825,65993.9705882353,0.5602823529411766,-0.016131514080756304,1038.1479411764706,4.504108987102805,657669.2647058824
2000-03-03,1064.8617647058823,1074.2838235294118,1090.1014705882353,1036.5838235294118,1051.8485294117647,1048.0,1052.6670588235295,543336.9117647059,40002128111323.53,26760.617647058825,65993.9705882353,0.5602823529411766,-0.03185063942748812,1044.3777205882352,4.613770677399258,668233.5882352941
2000-03-06,1048.0,1081.5514705882354,1106.4705882352941,993.8058823529412,1065.480882352941,1063.6808823529411,1066.6708823529411,694587.1176470588,38717585153235.3,26760.617647058825,65993.9705882353,0.5602823529411766,-0.005959233467713324,1050.583161764706,4.666332533780868,689101.5294117647
2000-03-07,1063.6808823529411,1081.8985294117647,1104.1117647058825,1045.010294117647,1067.8014705882354,1064.8808823529412,1065.1214705882353,632841.8235294118,33515920989264.707,26760.617647058825,65993.9705882353,0.5602823529411766,-0.03187726995892447,1056.7818382352941,4.723435324665091,646550.2352941176
